---OutputTable---
time=88161
table_size=6503
[1] - <261 16217 > true count=10, estimated count=156, Key=1370960
[58] - <420 15832 > true count=28, estimated count=156, Key=1160524
[59] - <833 > true count=3, estimated count=156, Key=833
[60] - <1066 3160 > true count=2, estimated count=156, Key=1729586
[61] - <4009 5712 10448 > true count=1, estimated count=156, Key=969065
[62] - <38 511 16430 > true count=2, estimated count=156, Key=5472025
[63] - <39 10796 15345 > true count=2, estimated count=156, Key=2264456
[64] - <41 2749 > true count=38, estimated count=157, Key=1503744
[65] - <38 39 41 286 560 963 2754 2914 3903 4294 16430 16431 > true count=1, estimated count=157, Key=5634125
[66] - <15715 > true count=2, estimated count=157, Key=15715
[67] - <39 48 3762 > true count=4, estimated count=157, Key=4649793
[68] - <3160 16430 16431 > true count=2, estimated count=156, Key=6684069
[69] - <237 13182 > true count=2, estimated count=156, Key=7210791
[70] - <270 3676 > true count=2, estimated count=156, Key=2011042
[71] - <39 1805 > true count=4, estimated count=156, Key=987374
[72] - <39 48 13203 > true count=3, estimated count=156, Key=1252782
[73] - <39 8914 > true count=3, estimated count=156, Key=4875997
[74] - <48 729 > true count=3, estimated count=156, Key=398811
[75] - <39 41 48 913 7763 16430 16431 > true count=1, estimated count=156, Key=4718835
[76] - <675 3012 > true count=2, estimated count=156, Key=1648239
[77] - <39 968 > true count=13, estimated count=156, Key=529535
[78] - <49 16176 > true count=2, estimated count=156, Key=1348321
[79] - <438 13049 > true count=2, estimated count=156, Key=7138241
[80] - <5757 > true count=2, estimated count=156, Key=5757
[81] - <39 2706 4024 4589 7373 > true count=1, estimated count=156, Key=5839971
[82] - <39 204 1486 4698 16430 16431 16433 > true count=1, estimated count=156, Key=456809
[83] - <88 107 549 > true count=2, estimated count=156, Key=733338
[84] - <48 78 101 > true count=3, estimated count=156, Key=166843
[85] - <225 2238 16217 > true count=7, estimated count=156, Key=6155104
[86] - <2238 8978 16010 > true count=19, estimated count=156, Key=2089494
[87] - <39 48 67 > true count=3, estimated count=156, Key=108638
[88] - <48 101 1081 > true count=2, estimated count=156, Key=1383844
[89] - <647 769 2370 7082 8235 13174 > true count=1, estimated count=156, Key=4762555
[90] - <1962 > true count=4, estimated count=156, Key=1962
[91] - <48 397 16430 > true count=2, estimated count=156, Key=5409677
[92] - <237 7646 > true count=6, estimated count=156, Key=4182599
[93] - <1004 15578 > true count=2, estimated count=156, Key=1022170
[94] - <192 16430 16431 > true count=2, estimated count=156, Key=6681101
[95] - <32 1387 16430 16431 > true count=2, estimated count=156, Key=1198174
[96] - <8320 > true count=2, estimated count=156, Key=8320
[97] - <14933 15436 > true count=4, estimated count=156, Key=958425
[98] - <48 413 956 > true count=3, estimated count=156, Key=1400883
[99] - <41 48 101 16430 > true count=2, estimated count=156, Key=2895416
[100] - <65 1000 > true count=2, estimated count=156, Key=547065
[101] - <41 5489 > true count=17, estimated count=156, Key=3002524
[102] - <1145 > true count=5, estimated count=156, Key=1145
[103] - <2216 15578 > true count=2, estimated count=156, Key=1023382
[104] - <610 12677 16430 > true count=2, estimated count=156, Key=4627399
[105] - <136 12677 > true count=3, estimated count=156, Key=6934455
[106] - <12925 16011 > true count=20, estimated count=156, Key=1270942
[107] - <32 48 2524 > true count=2, estimated count=156, Key=3128284
[108] - <38 39 885 > true count=9, estimated count=156, Key=1109036
[109] - <3499 > true count=121, estimated count=156, Key=3499
[110] - <48 3219 > true count=2, estimated count=156, Key=1760841
[111] - <38 48 286 12959 16430 16431 > true count=1, estimated count=156, Key=2710556
[112] - <48 176 201 > true count=3, estimated count=156, Key=343349
[113] - <39 48 123 772 1103 2867 3036 6510 16467 > true count=1, estimated count=156, Key=7451047
[114] - <95 704 > true count=2, estimated count=156, Key=385183
[115] - <39 41 48 1538 > true count=2, estimated count=156, Key=3146692
[116] - <39 237 286 > true count=3, estimated count=156, Key=481172
[117] - <1232 15578 > true count=3, estimated count=156, Key=1022398
[118] - <3635 16430 16431 > true count=2, estimated count=156, Key=6684544
[119] - <743 > true count=4, estimated count=156, Key=743
[120] - <2741 16217 > true count=9, estimated count=156, Key=1373440
[121] - <38 808 16217 > true count=10, estimated count=156, Key=5372707
[122] - <32 48 114 560 1232 2535 2673 5685 > true count=1, estimated count=156, Key=3070095
[123] - <13459 > true count=2, estimated count=156, Key=13459
[124] - <41 708 > true count=3, estimated count=156, Key=387317
[125] - <39 13189 15618 > true count=3, estimated count=156, Key=3908944
[126] - <39 3318 > true count=3, estimated count=156, Key=1814985
[127] - <41 48 1130 > true count=2, estimated count=156, Key=1415067
[128] - <4883 8068 > true count=8, estimated count=157, Key=4418079
[129] - <39 941 1290 1764 2495 3006 3862 4832 5862 15119 15618 16430 16431 > true count=1, estimated count=157, Key=2237723
[130] - <38 48 649 > true count=10, estimated count=157, Key=823915
[131] - <39 3186 > true count=22, estimated count=157, Key=1742781
[132] - <18 32 16430 > true count=2, estimated count=157, Key=5209992
[133] - <39 48 237 740 746 6401 12959 14605 > true count=1, estimated count=157, Key=1571467
[134] - <39 48 95 > true count=6, estimated count=157, Key=143050
[135] - <32 39 205 242 1393 > true count=1, estimated count=157, Key=4584973
[136] - <32 41 1951 16430 > true count=2, estimated count=156, Key=5165228
[137] - <39 48 12768 > true count=2, estimated count=156, Key=718167
[138] - <10283 > true count=3, estimated count=156, Key=10283
[139] - <36 38 1570 16430 16431 > true count=1, estimated count=156, Key=4864161
[140] - <37 38 39 413 4524 4751 5439 12931 > true count=1, estimated count=156, Key=1900420
[141] - <32 39 41 3034 > true count=3, estimated count=156, Key=6118516
[142] - <5038 15718 16430 16431 > true count=1, estimated count=156, Key=1542237
[143] - <39 48 2856 > true count=3, estimated count=156, Key=3536319
[144] - <26 32 39 65 529 561 796 1020 1161 1609 2823 3156 3271 4048 4698 6134 8230 10442 10553 10579 13197 16430 16431 > true count=1, estimated count=156, Key=4729866
[145] - <32 39 48 10815 > true count=2, estimated count=156, Key=6634652
[146] - <1144 16010 > true count=17, estimated count=156, Key=1258614
[147] - <39 175 842 > true count=6, estimated count=156, Key=1130582
[148] - <48 2838 > true count=4, estimated count=156, Key=1552434
[149] - <12092 > true count=4, estimated count=156, Key=12092
[150] - <48 1209 1650 5022 10796 13174 15586 > true count=1, estimated count=156, Key=958071
[151] - <882 > true count=3, estimated count=156, Key=882
[152] - <389 16217 > true count=8, estimated count=156, Key=1371088
[153] - <1704 16011 > true count=20, estimated count=156, Key=1259721
[154] - <16244 > true count=2, estimated count=156, Key=16244
[155] - <39 15497 > true count=4, estimated count=156, Key=976898
[156] - <66 808 > true count=2, estimated count=156, Key=442042
[157] - <48 107 549 > true count=3, estimated count=156, Key=733298
[158] - <2725 > true count=3, estimated count=156, Key=2725
[159] - <39 48 1285 > true count=2, estimated count=156, Key=1605560
[160] - <1 41 48 312 553 808 856 1360 1486 1782 1812 1814 1869 2002 2552 3330 3925 4207 5062 7744 9061 13786 15126 15879 16430 16431 > true count=1, estimated count=156, Key=6001899
[161] - <15258 > true count=49, estimated count=156, Key=15258
[162] - <38 39 664 > true count=3, estimated count=156, Key=837427
[163] - <581 704 > true count=2, estimated count=156, Key=385669
[164] - <831 10451 16430 16431 > true count=1, estimated count=156, Key=6156981
[165] - <41 48 9631 16430 16431 > true count=1, estimated count=156, Key=7276605
[166] - <48 221 282 766 1404 1408 1973 1993 2730 2792 2894 6200 6814 7088 7902 10554 12959 13174 16175 16430 16431 > true count=1, estimated count=156, Key=4499312
[167] - <237 533 > true count=68, estimated count=156, Key=291788
[168] - <11 16217 > true count=10, estimated count=156, Key=1370710
[169] - <1423 > true count=2, estimated count=156, Key=1423
[170] - <38 39 170 242 > true count=3, estimated count=156, Key=712607
[171] - <11740 12381 15557 > true count=1, estimated count=156, Key=3403700
[172] - <38 751 > true count=8, estimated count=156, Key=410835
[173] - <2630 > true count=87, estimated count=156, Key=2630
[174] - <248 16430 > true count=2, estimated count=156, Key=1487458
[175] - <48 78 10573 > true count=2, estimated count=156, Key=5536931
[176] - <39 48 1166 > true count=3, estimated count=156, Key=1459309
[177] - <36 14098 > true count=3, estimated count=156, Key=211642
[178] - <39 1658 > true count=9, estimated count=156, Key=906965
[179] - <39 48 13615 > true count=3, estimated count=156, Key=1759130
[180] - <39 48 65 878 > true count=2, estimated count=156, Key=1856034
[181] - <808 885 > true count=10, estimated count=156, Key=484903
[182] - <39 48 338 12925 > true count=2, estimated count=156, Key=3701222
[183] - <6682 > true count=3, estimated count=156, Key=6682
[184] - <48 1874 > true count=3, estimated count=156, Key=1025126
[185] - <39 48 2150 15578 > true count=1, estimated count=156, Key=3715599
[186] - <39 48 639 > true count=3, estimated count=156, Key=811626
[187] - <39 48 844 845 912 7744 9066 13174 > true count=1, estimated count=156, Key=5579968
[188] - <41 548 1964 16430 16431 > true count=2, estimated count=156, Key=5627362
[189] - <39 48 958 4257 5034 7373 12050 12925 > true count=1, estimated count=156, Key=5715032
[190] - <39 986 > true count=13, estimated count=156, Key=539381
[191] - <32 39 48 2399 > true count=2, estimated count=156, Key=4861564
[192] - <39 41 48 201 271 1020 1578 3315 4019 > true count=1, estimated count=157, Key=6557696
[193] - <38 39 41 840 > true count=3, estimated count=156, Key=1745880
[194] - <39 3735 > true count=37, estimated count=156, Key=2043084
[195] - <38 1619 > true count=3, estimated count=156, Key=885631
[196] - <32 39 41 275 1837 2309 2386 2560 3047 3124 3628 4351 5203 6214 7575 9876 12951 15007 > true count=1, estimated count=156, Key=4026459
[197] - <2091 16217 > true count=9, estimated count=156, Key=1372790
[198] - <39 41 48 2182 > true count=2, estimated count=156, Key=4430184
[199] - <413 7646 > true count=8, estimated count=156, Key=4182775
[200] - <11203 > true count=56, estimated count=156, Key=11203
[201] - <48 101 201 > true count=3, estimated count=156, Key=302324
[202] - <48 15967 > true count=8, estimated count=156, Key=1233997
[203] - <12070 > true count=3, estimated count=156, Key=12070
[204] - <5360 > true count=3, estimated count=156, Key=5360
[205] - <38 1784 1838 3005 4064 > true count=1, estimated count=156, Key=5395689
[206] - <12566 > true count=8, estimated count=156, Key=12566
[207] - <301 358 1000 > true count=2, estimated count=156, Key=1425127
[208] - <2656 14098 > true count=2, estimated count=156, Key=214262
[209] - <6059 > true count=4, estimated count=156, Key=6059
[210] - <107 549 12677 > true count=2, estimated count=156, Key=880443
[211] - <39 48 77 > true count=3, estimated count=156, Key=120928
[212] - <48 65 2184 > true count=3, estimated count=156, Key=2719739
[213] - <32 41 129 > true count=2, estimated count=156, Key=181000
[214] - <48 4831 > true count=3, estimated count=156, Key=2642605
[215] - <342 16430 > true count=2, estimated count=156, Key=1487552
[216] - <2186 16430 16431 > true count=2, estimated count=156, Key=6683095
[217] - <4494 > true count=3, estimated count=156, Key=4494
[218] - <32 39 155 > true count=2, estimated count=156, Key=211860
[219] - <39 48 3317 > true count=7, estimated count=156, Key=4102888
[220] - <48 3724 > true count=2, estimated count=156, Key=2037076
[221] - <38 175 225 > true count=5, estimated count=156, Key=372288
[222] - <15815 > true count=6, estimated count=156, Key=15815
[223] - <38 39 48 101 4685 9150 > true count=2, estimated count=156, Key=926871
[224] - <38 41 649 > true count=9, estimated count=156, Key=820086
[225] - <39 48 907 > true count=3, estimated count=156, Key=1140998
[226] - <3186 16430 16431 > true count=2, estimated count=156, Key=6684095
[227] - <41 7068 > true count=5, estimated count=156, Key=3866237
[228] - <39 48 2635 > true count=4, estimated count=156, Key=3264710
[229] - <65 13443 > true count=2, estimated count=156, Key=7353386
[230] - <39 107 16217 > true count=8, estimated count=156, Key=4989261
[231] - <18 16217 > true count=10, estimated count=156, Key=1370717
[232] - <48 13328 > true count=11, estimated count=156, Key=7290464
[233] - <38 39 41 48 1529 > true count=2, estimated count=156, Key=4370645
[234] - <610 1067 > true count=4, estimated count=156, Key=584259
[235] - <39 48 479 10128 > true count=2, estimated count=156, Key=5800090
[236] - <39 4472 16430 16431 > true count=2, estimated count=156, Key=2885676
[237] - <38 39 271 16430 16431 > true count=2, estimated count=156, Key=3268239
[238] - <3977 > true count=3, estimated count=156, Key=3977
[239] - <3879 > true count=2, estimated count=156, Key=3879
[240] - <3644 > true count=7, estimated count=156, Key=3644
[241] - <41 4310 > true count=4, estimated count=156, Key=2357611
[242] - <78 237 > true count=5, estimated count=156, Key=129717
[243] - <39 179 237 8411 16430 > true count=1, estimated count=156, Key=2318418
[244] - <48 78 2764 > true count=2, estimated count=156, Key=3439670
[245] - <762 > true count=4, estimated count=156, Key=762
[246] - <413 2245 > true count=2, estimated count=156, Key=1228428
[247] - <48 186 282 > true count=2, estimated count=156, Key=448368
[248] - <95 342 > true count=1, estimated count=156, Key=187169
[249] - <41 48 804 > true count=6, estimated count=156, Key=1014413
[250] - <879 16430 > true count=2, estimated count=156, Key=1488089
[251] - <39 660 > true count=3, estimated count=156, Key=361059
[252] - <39 186 310 16430 16431 > true count=2, estimated count=156, Key=3396580
[253] - <39 156 2856 15345 > true count=2, estimated count=156, Key=4177980
[254] - <41 2263 > true count=2, estimated count=156, Key=1237902
[255] - <32 39 9150 16430 > true count=2, estimated count=156, Key=6511705
[256] - <39 41 161 16430 16431 > true count=2, estimated count=158, Key=3134144
[257] - <39 65 243 > true count=2, estimated count=158, Key=334241
[258] - <16405 16415 16430 16431 16434 16440 > true count=1, estimated count=157, Key=983569
[259] - <39 41 2168 16217 > true count=6, estimated count=157, Key=5007419
[260] - <32 653 16430 > true count=2, estimated count=158, Key=5549693
[261] - <32 910 956 16430 16431 > true count=2, estimated count=157, Key=4586535
[262] - <39 41 48 413 651 703 1043 1178 1315 1363 1439 1613 1804 2310 3483 4121 5421 6091 7873 7895 10300 12932 13122 13152 > true count=1, estimated count=157, Key=3558108
[263] - <310 808 > true count=10, estimated count=157, Key=442286
[264] - <41 1004 16217 > true count=10, estimated count=157, Key=5479922
[265] - <1319 2058 3819 3925 4657 4702 10598 15981 > true count=1, estimated count=157, Key=152815
[266] - <32 41 48 544 16430 16431 > true count=3, estimated count=158, Key=171124
[267] - <441 2004 2664 12929 16428 > true count=1, estimated count=157, Key=298754
[268] - <39 48 1308 > true count=16, estimated count=158, Key=1633827
[269] - <48 1023 > true count=5, estimated count=158, Key=559629
[270] - <2091 3270 13382 15879 16269 16430 16431 > true count=1, estimated count=157, Key=1084868
[271] - <2310 4267 > true count=1, estimated count=157, Key=2336359
[272] - <39 1355 16217 > true count=5, estimated count=156, Key=5671917
[273] - <48 1022 5403 14999 15345 16443 > true count=1, estimated count=156, Key=3158164
[274] - <38 39 41 48 53 110 161 16430 > true count=1, estimated count=156, Key=1435242
[275] - <39 48 1924 > true count=4, estimated count=156, Key=2390891
[276] - <516 > true count=3, estimated count=156, Key=516
[277] - <39 65 161 > true count=4, estimated count=156, Key=233463
[278] - <48 6489 > true count=9, estimated count=156, Key=3549531
[279] - <36 38 39 48 89 > true count=4, estimated count=156, Key=409078
[280] - <48 65 69 117 396 469 544 615 812 910 1004 1562 1779 2515 2673 2793 2853 3349 9029 10804 12925 16430 > true count=1, estimated count=157, Key=5753233
[281] - <39 41 48 3324 13106 16430 16431 > true count=1, estimated count=156, Key=1711865
[282] - <9843 16155 16217 > true count=7, estimated count=156, Key=6277321
[283] - <48 9095 > true count=5, estimated count=156, Key=4975013
[284] - <23 38 > true count=3, estimated count=156, Key=20809
[285] - <39 41 48 89 236 297 338 764 797 1153 1154 2468 > true count=1, estimated count=156, Key=6903668
[286] - <39 48 4294 > true count=2, estimated count=156, Key=5303621
[287] - <32 649 16217 > true count=10, estimated count=156, Key=5285728
[288] - <48 4392 > true count=3, estimated count=157, Key=2402472
[289] - <39 5356 > true count=3, estimated count=156, Key=2929771
[290] - <38 1459 > true count=9, estimated count=156, Key=798111
[291] - <39 533 681 > true count=2, estimated count=156, Key=1128539
[292] - <38 39 48 286 12925 > true count=3, estimated count=156, Key=6181186
[293] - <39 201 719 13174 16430 > true count=1, estimated count=156, Key=4915489
[294] - <3253 > true count=5, estimated count=156, Key=3253
[295] - <48 1135 3072 5099 12925 16430 > true count=1, estimated count=156, Key=3925343
[296] - <4067 > true count=3, estimated count=156, Key=4067
[297] - <533 3412 > true count=2, estimated count=156, Key=1866897
[298] - <39 533 927 > true count=2, estimated count=156, Key=1430873
[299] - <39 48 14637 > true count=3, estimated count=156, Key=3015168
[300] - <39 685 > true count=3, estimated count=156, Key=374734
[301] - <413 989 > true count=2, estimated count=156, Key=541396
[302] - <101 916 > true count=2, estimated count=156, Key=501153
[303] - <4913 16217 > true count=7, estimated count=156, Key=1375612
[304] - <38 39 48 405 > true count=2, estimated count=156, Key=887528
[305] - <39 2861 > true count=5, estimated count=156, Key=1565006
[306] - <41 48 548 1072 10481 > true count=1, estimated count=156, Key=1648554
[307] - <39 10555 > true count=3, estimated count=156, Key=5773624
[308] - <5569 > true count=3, estimated count=156, Key=5569
[309] - <13132 > true count=2, estimated count=156, Key=13132
[310] - <39 12308 > true count=4, estimated count=156, Key=6732515
[311] - <39 41 48 248 > true count=2, estimated count=156, Key=575722
[312] - <32 842 4580 5091 16430 16431 > true count=1, estimated count=156, Key=241270
[313] - <48 226 415 > true count=2, estimated count=156, Key=633705
[314] - <39 681 12925 > true count=3, estimated count=156, Key=1257371
[315] - <39 1138 16155 > true count=2, estimated count=156, Key=5477020
[316] - <39 15967 > true count=7, estimated count=156, Key=1233988
[317] - <39 41 48 89 916 1308 6637 > true count=1, estimated count=156, Key=6803044
[318] - <32 1000 > true count=2, estimated count=156, Key=547032
[319] - <270 12925 > true count=6, estimated count=156, Key=7070245
[320] - <39 48 808 924 1752 2310 4532 4658 10066 10087 10526 12983 15084 15273 16430 16431 16456 16457 > true count=1, estimated count=157, Key=1626606
[321] - <32 36 38 511 7484 7518 > true count=1, estimated count=156, Key=3580323
[322] - <237 3436 6461 7081 7538 16430 16431 > true count=1, estimated count=157, Key=3631974
[323] - <32 175 13041 > true count=37, estimated count=156, Key=1123146
[324] - <15692 > true count=1, estimated count=156, Key=15692
[325] - <1435 4883 > true count=3, estimated count=156, Key=2672436
[326] - <39 592 16217 > true count=9, estimated count=156, Key=5254556
[327] - <39 48 13184 > true count=2, estimated count=156, Key=1229431
[328] - <39 41 48 14574 > true count=3, estimated count=157, Key=6627440
[329] - <39 10651 > true count=7, estimated count=156, Key=5826136
[330] - <15686 > true count=1, estimated count=156, Key=15686
[331] - <2 519 15338 > true count=1, estimated count=156, Key=4134297
[332] - <39 4286 > true count=5, estimated count=156, Key=2344481
[333] - <201 3799 > true count=2, estimated count=156, Key=2078254
[334] - <41 48 3510 > true count=21, estimated count=156, Key=4340087
[335] - <39 2486 16430 16431 > true count=1, estimated count=156, Key=1799334
[336] - <808 7205 16217 > true count=11, estimated count=157, Key=1372636
[337] - <39 48 696 16430 16431 > true count=1, estimated count=156, Key=3795488
[338] - <150 326 405 860 2706 4331 > true count=1, estimated count=156, Key=2838302
[339] - <39 8620 > true count=3, estimated count=156, Key=4715179
[340] - <48 65 798 > true count=2, estimated count=156, Key=1016345
[341] - <39 48 1082 > true count=3, estimated count=156, Key=1356073
[342] - <3270 6468 12959 16134 > true count=1, estimated count=156, Key=6622939
[343] - <798 2184 > true count=2, estimated count=156, Key=1195446
[344] - <39 48 310 2184 > true count=3, estimated count=156, Key=4759997
[345] - <48 10730 > true count=5, estimated count=156, Key=5869358
[346] - <1026 16217 > true count=7, estimated count=156, Key=1371725
[347] - <39 48 49 248 > true count=2, estimated count=156, Key=580780
[348] - <32 248 > true count=2, estimated count=156, Key=135688
[349] - <36 38 39 48 15618 > true count=2, estimated count=156, Key=5598299
[350] - <38 413 16217 > true count=9, estimated count=156, Key=5156642
[351] - <48 442 > true count=3, estimated count=156, Key=241822
[352] - <413 441 > true count=8, estimated count=156, Key=241640
[353] - <48 3675 > true count=5, estimated count=156, Key=2010273
[354] - <38 384 > true count=4, estimated count=156, Key=210086
[355] - <41 1609 16010 > true count=20, estimated count=156, Key=5556454
[356] - <38 3759 16217 > true count=8, estimated count=156, Key=6986904
[357] - <32 673 > true count=3, estimated count=156, Key=368163
[358] - <39 878 1609 > true count=2, estimated count=156, Key=2457766
[359] - <32 39 2476 > true count=2, estimated count=156, Key=3064369
[360] - <39 48 78 192 830 > true count=1, estimated count=156, Key=2786483
[361] - <48 2723 6999 > true count=2, estimated count=156, Key=2591300
[362] - <48 65 101 > true count=6, estimated count=156, Key=159732
[363] - <48 2467 > true count=2, estimated count=156, Key=1349497
[364] - <2740 > true count=6, estimated count=156, Key=2740
[365] - <48 1604 > true count=3, estimated count=156, Key=877436
[366] - <39 48 2741 > true count=2, estimated count=156, Key=3394984
[367] - <3089 > true count=6, estimated count=156, Key=3089
[368] - <38 41 48 2879 > true count=2, estimated count=157, Key=5819304
[369] - <38 48 3127 > true count=2, estimated count=156, Key=3869377
[370] - <38 41 48 1067 > true count=4, estimated count=156, Key=2207988
[371] - <32 39 592 910 1750 10821 > true count=1, estimated count=156, Key=1123314
[372] - <51 232 261 402 703 729 730 821 918 1275 1738 1984 2075 2113 2378 2525 2966 2984 3270 3569 4066 5406 5905 6512 7514 8411 10374 10627 10792 11161 13086 16208 > true count=1, estimated count=156, Key=5469048
[373] - <41 643 > true count=7, estimated count=156, Key=351762
[374] - <39 820 > true count=3, estimated count=156, Key=448579
[375] - <741 > true count=4, estimated count=156, Key=741
[376] - <340 1677 > true count=2, estimated count=156, Key=917659
[377] - <48 14953 16430 > true count=2, estimated count=156, Key=5871809
[378] - <504 16430 16431 > true count=2, estimated count=156, Key=6681413
[379] - <39 48 5136 > true count=1, estimated count=156, Key=6338439
[380] - <39 48 805 > true count=8, estimated count=157, Key=1015640
[381] - <32 94 > true count=2, estimated count=156, Key=51450
[382] - <48 3553 16430 16431 > true count=2, estimated count=156, Key=2382992
[383] - <39 48 390 914 1696 10943 > true count=1, estimated count=156, Key=1176394
[384] - <39 48 2561 16217 > true count=8, estimated count=158, Key=5494245
[385] - <48 12925 13443 > true count=4, estimated count=157, Key=1091470
[386] - <48 5002 > true count=2, estimated count=156, Key=2736142
[387] - <716 16430 16431 16456 > true count=1, estimated count=156, Key=1978433
[388] - <32 48 1629 > true count=2, estimated count=156, Key=2028329
[389] - <41 3664 > true count=2, estimated count=156, Key=2004249
[390] - <9 39 237 > true count=3, estimated count=156, Key=312615
[391] - <48 89 812 1929 16430 > true count=1, estimated count=156, Key=5057246
[392] - <39 48 179 16430 16431 > true count=2, estimated count=158, Key=3160095
[393] - <41 2596 16217 > true count=9, estimated count=156, Key=6350746
[394] - <544 1867 > true count=2, estimated count=156, Key=1021793
[395] - <32 39 639 > true count=3, estimated count=156, Key=806696
[396] - <5974 > true count=2, estimated count=156, Key=5974
[397] - <48 2741 16430 > true count=2, estimated count=156, Key=6691845
[398] - <48 4374 16430 > true count=2, estimated count=156, Key=85096
[399] - <2425 13190 13300 16430 16431 > true count=1, estimated count=156, Key=3976864
[400] - <48 176 271 > true count=2, estimated count=156, Key=429379
[401] - <201 541 2413 > true count=2, estimated count=156, Key=3261705
[402] - <3521 > true count=71, estimated count=159, Key=3521
[403] - <48 2424 > true count=3, estimated count=156, Key=1325976
[404] - <39 41 806 16217 > true count=7, estimated count=157, Key=3333521
[405] - <65 407 > true count=5, estimated count=156, Key=222694
[406] - <39 48 1104 > true count=6, estimated count=157, Key=1383111
[407] - <1834 > true count=3, estimated count=156, Key=1834
[408] - <65 766 > true count=2, estimated count=156, Key=419067
[409] - <32 39 649 16430 > true count=2, estimated count=156, Key=3563976
[410] - <32 39 41 649 16405 > true count=2, estimated count=156, Key=1462556
[411] - <39 41 48 4340 > true count=2, estimated count=156, Key=1231078
[412] - <41 48 13060 > true count=2, estimated count=157, Key=1077037
[413] - <41 48 4448 > true count=2, estimated count=156, Key=5492889
[414] - <41 48 95 > true count=5, estimated count=156, Key=143052
[415] - <39 164 165 > true count=5, estimated count=156, Key=292532
[416] - <38 41 885 > true count=12, estimated count=159, Key=1110130
