---OutputTable---
time=990001
table_size=3258
[1] - <2 446 41266 > true count=1, estimated count=2681, Key=5959878
[116] - <4 6 378 > true count=2, estimated count=2681, Key=467848
[117] - <6 11 492 573 > true count=2, estimated count=2681, Key=1752680
[118] - <3 55 316 > true count=3, estimated count=2681, Key=418452
[119] - <148 3317 > true count=2, estimated count=2681, Key=1814547
[120] - <6 7 11 27 6053 > true count=2, estimated count=2681, Key=1710862
[121] - <7 916 > true count=3, estimated count=2681, Key=501059
[122] - <55 378 > true count=1, estimated count=2681, Key=206821
[123] - <6 11 6494 > true count=1, estimated count=2681, Key=487149
[124] - <1 78 294 1901 3001 13172 > true count=1, estimated count=2681, Key=7111367
[125] - <11 50 > true count=6, estimated count=2681, Key=27361
[126] - <3 6 11 148 218 229 > true count=3, estimated count=2681, Key=1731099
[127] - <1 11 90 331 > true count=1, estimated count=2681, Key=776311
[128] - <6 11 148 218 255 303 1656 > true count=2, estimated count=2683, Key=2229603
[129] - <6 7 11 148 218 364 > true count=4, estimated count=2681, Key=2215084
[130] - <6 83 87 897 > true count=21, estimated count=2682, Key=1940051
[131] - <1 6 7 49 77 > true count=5, estimated count=2682, Key=321216
[132] - <6 11918 > true count=1, estimated count=2682, Key=6519152
[133] - <3 7 87 205 > true count=11, estimated count=2682, Key=519320
[134] - <1 6 11 64 73 83 148 218 1751 2941 3776 4147 7239 > true count=1, estimated count=2682, Key=5717596
[135] - <3 6 314 2024 > true count=7, estimated count=2683, Key=4423023
[136] - <509 1945 > true count=1, estimated count=2682, Key=1064424
[137] - <3 6 87 897 > true count=101, estimated count=2681, Key=1897929
[138] - <3 5 6 7 11 27 87 99 148 218 273 397 420 667 891 2052 2333 3085 4238 4952 5705 7977 > true count=1, estimated count=2682, Key=4225015
[139] - <6 11 90 148 218 240 291 564 689 839 841 1469 2096 2398 2399 2400 2973 3258 3825 4962 7586 13866 20918 > true count=1, estimated count=2682, Key=626911
[140] - <3 6 7 11 27 85 321 504 1529 2373 2868 3553 5177 > true count=1, estimated count=2682, Key=2106802
[141] - <3 2874 > true count=1, estimated count=2682, Key=1572081
[142] - <6 7 11 568 > true count=11, estimated count=2681, Key=1149378
[143] - <3 6 11 631 > true count=3, estimated count=2681, Key=1274387
[144] - <6 7 11 27 897 6828 > true count=2, estimated count=2682, Key=4488086
[145] - <73 643 7155 9007 > true count=1, estimated count=2682, Key=4596240
[146] - <6 11 762 6682 > true count=1, estimated count=2682, Key=6759747
[147] - <446 13990 > true count=1, estimated count=2682, Key=152976
[148] - <269 294 > true count=1, estimated count=2682, Key=161087
[149] - <6 7 11 27 83 276 897 > true count=5, estimated count=2682, Key=5253325
[150] - <6 11 316 2251 6335 > true count=2, estimated count=2681, Key=7295545
[151] - <3 446 1748 4854 5832 10987 35729 > true count=1, estimated count=2682, Key=400803
[152] - <1 3 6 11 494 504 931 1644 2045 2973 4310 16231 > true count=1, estimated count=2682, Key=5292645
[153] - <1 6 7 11 155 > true count=5, estimated count=2682, Key=459904
[154] - <3 6 11 77 89 218 496 987 1025 1458 1817 8040 20474 21029 > true count=1, estimated count=2682, Key=2751788
[155] - <6 27 397 924 2448 3158 6267 6269 16042 > true count=1, estimated count=2682, Key=4370220
[156] - <3 6 11 1018 > true count=2, estimated count=2682, Key=2045678
[157] - <6 7 632 > true count=14, estimated count=2682, Key=780563
[158] - <6 11 25 90 148 218 239 240 241 242 281 354 584 672 772 775 784 969 1025 1132 1754 1806 1809 2040 2041 2083 2181 3259 3337 3394 4507 5880 6333 6469 > true count=2, estimated count=2683, Key=2633701
[159] - <2 6 11 49 > true count=9, estimated count=2682, Key=114460
[160] - <6 135 136 218 > true count=7, estimated count=2682, Key=675469
[161] - <6 11 27 49 136 > true count=14, estimated count=2683, Key=510727
[162] - <1 6 11 1802 > true count=3, estimated count=2682, Key=3608188
[163] - <1 710 > true count=5, estimated count=2682, Key=388371
[164] - <1 6 11 90 699 2133 3348 > true count=2, estimated count=2683, Key=2057504
[165] - <6 11 27 49 135 > true count=7, estimated count=2682, Key=507978
[166] - <6 11 148 209 218 268 271 1138 1536 1644 1997 > true count=1, estimated count=2682, Key=2703360
[167] - <3 6 483 12747 > true count=1, estimated count=2682, Key=3501663
[168] - <6 11 27 531 > true count=7, estimated count=2682, Key=1097489
[169] - <6 151 324 338 339 531 558 866 1076 1850 13482 21108 > true count=1, estimated count=2682, Key=4213379
[170] - <1 3 294 446 > true count=1, estimated count=2682, Key=1251846
[171] - <3 6 11 27 64 83 670 > true count=2, estimated count=2682, Key=3505844
[172] - <3 4 6 11 306 > true count=2, estimated count=2682, Key=872682
[173] - <6 11 55 90 260 281 290 584 644 667 737 866 989 1481 1858 2214 2895 5971 5972 10512 10790 > true count=1, estimated count=2682, Key=1801423
[174] - <6 7 27 28 32 83 85 86 278 1050 > true count=2, estimated count=2682, Key=2296400
[175] - <6 7 11 28 32 55 278 400 438 514 1834 > true count=1, estimated count=2682, Key=6113973
[176] - <1 1490 > true count=1, estimated count=2682, Key=815031
[177] - <2 3 6 11 4183 > true count=1, estimated count=2682, Key=4030007
[178] - <2376 3393 16295 > true count=1, estimated count=2682, Key=6884902
[179] - <77 378 > true count=79, estimated count=2681, Key=206843
[180] - <3 6 452 > true count=6, estimated count=2681, Key=558793
[181] - <6 11 5755 > true count=5, estimated count=2681, Key=7078918
[182] - <6 49 138 > true count=29, estimated count=2681, Key=196411
[183] - <1 3 6 11 218 7697 40652 > true count=1, estimated count=2681, Key=5415670
[184] - <3 6 7 11 27 64 > true count=5, estimated count=2682, Key=337218
[185] - <6 11 241 473 > true count=3, estimated count=2681, Key=1244901
[186] - <1 6 11 370 > true count=5, estimated count=2681, Key=754212
[187] - <6 11 218 930 > true count=16, estimated count=2681, Key=2127435
[188] - <11 847 > true count=3, estimated count=2681, Key=463320
[189] - <6 7 11 2886 > true count=2, estimated count=2681, Key=5769152
[190] - <2 6 667 > true count=4, estimated count=2681, Key=823027
[191] - <3 218 278 > true count=6, estimated count=2681, Key=460911
[192] - <3 6 11 644 670 > true count=7, estimated count=2682, Key=3142126
[193] - <2 6 27 1956 > true count=3, estimated count=2681, Key=3934775
[194] - <6 11 1479 > true count=5, estimated count=2681, Key=1823714
[195] - <6 504 2013 > true count=4, estimated count=2681, Key=2749671
[196] - <11338 > true count=1, estimated count=2681, Key=11338
[197] - <6 3221 > true count=3, estimated count=2681, Key=1761893
[198] - <1 1777 > true count=1, estimated count=2681, Key=972020
[199] - <3 15380 > true count=1, estimated count=2681, Key=912863
[200] - <6 7 205 1775 > true count=2, estimated count=2681, Key=3793355
[201] - <1 4888 > true count=1, estimated count=2681, Key=2673737
[202] - <2 6 11 148 514 > true count=2, estimated count=2681, Key=1724753
[203] - <1 116 > true count=2, estimated count=2681, Key=63453
[204] - <1 145 > true count=32, estimated count=2681, Key=79316
[205] - <323 1806 4361 > true count=1, estimated count=2681, Key=6347874
[206] - <1 6 380 512 > true count=3, estimated count=2681, Key=1490719
[207] - <6 138 446 > true count=20, estimated count=2681, Key=623626
[208] - <3 6 1960 > true count=12, estimated count=2682, Key=2412125
[209] - <6 19451 > true count=1, estimated count=2681, Key=3139703
[210] - <6 11 316 12685 > true count=1, estimated count=2681, Key=3175592
[211] - <3 6 11 218 568 > true count=5, estimated count=2681, Key=2012710
[212] - <6 64 4597 > true count=2, estimated count=2681, Key=5684727
[213] - <1539 > true count=3, estimated count=2681, Key=1539
[214] - <3055 > true count=2, estimated count=2681, Key=3055
[215] - <1 6 1996 > true count=2, estimated count=2681, Key=2456367
[216] - <1 6 83 87 > true count=36, estimated count=2682, Key=278681
[217] - <6 3228 > true count=2, estimated count=2681, Key=1765722
[218] - <5 6 585 3062 > true count=2, estimated count=2681, Key=6824818
[219] - <6 90 1019 > true count=18, estimated count=2681, Key=1301587
[220] - <2985 > true count=11, estimated count=2682, Key=2985
[221] - <2 6 7 11 27 77 > true count=4, estimated count=2681, Key=383770
[222] - <3 6 928 3774 > true count=1, estimated count=2681, Key=1165379
[223] - <6 633 738 > true count=4, estimated count=2681, Key=1253259
[224] - <6 7 11 27 69 148 218 > true count=2, estimated count=2681, Key=1754612
[225] - <1 6 368 > true count=5, estimated count=2681, Key=455555
[226] - <1 6 7 445 934 > true count=2, estimated count=2681, Key=3466337
[227] - <6 64 135 218 > true count=8, estimated count=2681, Key=635403
[228] - <6 7 11 27 83 148 218 981 > true count=2, estimated count=2682, Key=1794079
[229] - <6 11 64 145 670 1073 1074 1149 1473 2092 2406 6657 9443 17772 > true count=1, estimated count=2681, Key=7164655
[230] - <6 7 11 27 77 321 > true count=4, estimated count=2682, Key=1432339
[231] - <6 11 514 528 1519 > true count=14, estimated count=2681, Key=5865764
[232] - <6 1466 > true count=9, estimated count=2681, Key=801908
[233] - <3 6 11 2952 > true count=2, estimated count=2681, Key=5900140
[234] - <7838 > true count=1, estimated count=2681, Key=7838
[235] - <6 11 148 151 218 > true count=3, estimated count=2681, Key=1088140
[236] - <4 1777 > true count=2, estimated count=2681, Key=972023
[237] - <11 1057 > true count=3, estimated count=2681, Key=578190
[238] - <6 422 424 697 > true count=2, estimated count=2681, Key=2141057
[239] - <4 6 11 422 > true count=2, estimated count=2681, Key=857851
[240] - <115 148 218 747 > true count=2, estimated count=2682, Key=1837764
[241] - <141 259 504 521 522 587 869 905 > true count=1, estimated count=2681, Key=1679362
[242] - <3 6 11 555 > true count=6, estimated count=2681, Key=1122919
[243] - <6 11 105 148 218 364 > true count=3, estimated count=2681, Key=2332798
[244] - <6 11 2105 > true count=4, estimated count=2681, Key=2593068
[245] - <2 6 90 > true count=14, estimated count=2681, Key=113894
[246] - <294 6183 > true count=1, estimated count=2681, Key=3382395
[247] - <6 1027 > true count=1, estimated count=2681, Key=561775
[248] - <6 11 2169 > true count=3, estimated count=2681, Key=2671724
[249] - <1 3 6 11 46 356 379 687 702 3974 5945 6974 > true count=1, estimated count=2681, Key=1896426
[250] - <6 11 83 87 218 > true count=9, estimated count=2681, Key=880703
[251] - <6 64 77 218 987 > true count=4, estimated count=2681, Key=3277384
[252] - <6 7 10 11 87 212 1774 5148 5452 5453 6915 7576 9929 10689 14976 > true count=1, estimated count=2682, Key=1003179
[253] - <1 6 7 148 218 438 793 > true count=2, estimated count=2681, Key=5980463
[254] - <6 11 2981 > true count=6, estimated count=2681, Key=3669672
[255] - <6 11 205 1956 3276 > true count=7, estimated count=2682, Key=5662000
[256] - <6 11 90 148 218 239 240 241 242 281 584 672 775 969 1132 1809 2181 > true count=3, estimated count=2684, Key=2147310
[257] - <6 7 77 148 218 438 > true count=4, estimated count=2683, Key=2561192
[258] - <1 6 49 473 > true count=4, estimated count=2682, Key=1006193
[259] - <1 6 7 27 64 148 218 278 321 402 487 492 512 897 1174 2987 5087 5145 5204 5205 5318 5766 5767 5768 5769 5770 5771 5772 9129 12863 > true count=1, estimated count=2682, Key=3461967
[260] - <6 7 27 278 321 897 > true count=2, estimated count=2683, Key=4685658
[261] - <1 6 7 27 148 218 512 > true count=2, estimated count=2683, Key=3516759
[262] - <1 6 11 90 155 > true count=8, estimated count=2683, Key=622267
[263] - <1 6 7 77 148 218 > true count=6, estimated count=2682, Key=1352857
[264] - <6 11 90 237 > true count=7, estimated count=2684, Key=588974
[265] - <1 6 11 3473 > true count=4, estimated count=2683, Key=6938491
[266] - <6 11 77 916 > true count=5, estimated count=2683, Key=1926244
[267] - <3 6 7 11 205 897 > true count=12, estimated count=2683, Key=3809513
[268] - <3 6 11 39 148 158 218 234 379 494 6224 13847 17549 > true count=1, estimated count=2682, Key=3658436
[269] - <1 3 6 7 11 23 56 64 77 434 633 644 650 662 894 1030 2125 2128 3539 3612 4069 4562 5603 6233 7159 10806 > true count=1, estimated count=2682, Key=7017697
[270] - <1 3 6 11 64 77 > true count=4, estimated count=2684, Key=482612
[271] - <6 7 11 12 > true count=9, estimated count=2684, Key=41270
[272] - <6 326 23797 > true count=1, estimated count=2682, Key=6924841
[273] - <6 7 11 27 897 2300 > true count=8, estimated count=2681, Key=3273318
[274] - <1 3 6 11 25 83 151 152 269 273 303 364 899 916 2020 3155 13159 > true count=1, estimated count=2682, Key=5820956
[275] - <6 77 136 218 > true count=17, estimated count=2682, Key=643743
[276] - <3 6 218 294 3356 > true count=1, estimated count=2682, Key=2582793
[277] - <3 6 455 > true count=34, estimated count=2682, Key=562480
[278] - <3 645 > true count=1, estimated count=2682, Key=352818
[279] - <772 1751 3892 15190 > true count=1, estimated count=2682, Key=6015507
[280] - <6 11 90 148 218 240 4962 > true count=2, estimated count=2683, Key=1307321
[281] - <1 6 11 266 764 > true count=2, estimated count=2682, Key=2647176
[282] - <1 6 11 148 218 582 > true count=6, estimated count=2683, Key=2995190
[283] - <3 6 11 1105 > true count=1, estimated count=2682, Key=2219069
[284] - <1039 > true count=7, estimated count=2682, Key=1039
[285] - <3 6 7 11 77 218 > true count=4, estimated count=2682, Key=1026142
[286] - <5801 > true count=1, estimated count=2682, Key=5801
[287] - <11664 > true count=1, estimated count=2682, Key=11664
[288] - <6 11 40 987 > true count=85, estimated count=2689, Key=2022274
[289] - <27 278 10922 > true count=1, estimated count=2682, Key=6075231
[290] - <3 18 112 2247 > true count=1, estimated count=2682, Key=4625768
[291] - <1 3 6 11 217 446 491 1569 3247 7290 > true count=1, estimated count=2682, Key=132397
[292] - <6 7 11 27 40 > true count=18, estimated count=2684, Key=181125
[293] - <6 55 303 > true count=1, estimated count=2682, Key=402478
[294] - <1 6 11 241 490 506 704 864 971 972 2034 2356 3371 3372 3373 3374 3375 3784 11819 > true count=1, estimated count=2682, Key=2033422
[295] - <1 6 11 218 380 > true count=4, estimated count=2682, Key=1495896
[296] - <6 11 5528 > true count=1, estimated count=2682, Key=6799935
[297] - <1 3 6 11 45 215 237 676 1124 4121 > true count=1, estimated count=2682, Key=152549
[298] - <6 11 148 155 218 230 > true count=3, estimated count=2682, Key=1919742
[299] - <3 6 11 273 303 368 504 514 772 995 1131 1607 > true count=2, estimated count=2683, Key=5757211
[300] - <6 11 590 > true count=10, estimated count=2684, Key=731133
[301] - <1 6 151 218 > true count=7, estimated count=2682, Key=623336
[302] - <6 7 11 265 1104 > true count=5, estimated count=2682, Key=3580395
[303] - <6 349 > true count=6, estimated count=2682, Key=190909
[304] - <1 6 11 25 273 364 > true count=2, estimated count=2683, Key=2120588
[305] - <1 3 6 14 218 > true count=2, estimated count=2683, Key=636200
[306] - <6 11 148 218 455 > true count=7, estimated count=2682, Key=1873184
[307] - <2958 > true count=7, estimated count=2682, Key=2958
[308] - <6 11 90 148 218 240 689 1469 2400 > true count=2, estimated count=2683, Key=6230657
[309] - <6 4082 20990 > true count=1, estimated count=2682, Key=5529570
[310] - <1 6 25 504 1568 2285 > true count=2, estimated count=2683, Key=6031497
[311] - <484 > true count=3, estimated count=2682, Key=484
[312] - <4 6 11 148 218 306 314 1524 > true count=2, estimated count=2683, Key=3396555
[313] - <3 4 6 90 > true count=2, estimated count=2682, Key=188935
[314] - <6 11 148 218 358 359 379 1121 1806 > true count=2, estimated count=2683, Key=5556672
[315] - <6 11 90 148 155 218 253 255 273 354 379 434 498 504 514 537 747 766 772 773 870 987 1030 1131 1656 2072 2124 2135 2261 2274 2974 4573 > true count=2, estimated count=2683, Key=2767800
[316] - <1 6 11 56 64 > true count=6, estimated count=2684, Key=304346
[317] - <6 11 148 158 218 231 3143 > true count=2, estimated count=2683, Key=824505
[318] - <6 11 291 > true count=2, estimated count=2683, Key=363662
[319] - <11 987 1751 3143 > true count=1, estimated count=2682, Key=1455878
[320] - <3 6 11 148 218 537 766 > true count=3, estimated count=2683, Key=6220533
[321] - <1 6 11 218 1131 > true count=6, estimated count=2683, Key=3560395
[322] - <3 148 218 1857 > true count=3, estimated count=2683, Key=4049882
[323] - <1 3 6 11 494 > true count=3, estimated count=2684, Key=1388945
[324] - <52 > true count=21, estimated count=2684, Key=52
[325] - <3 6 7 11 27 148 218 446 987 > true count=2, estimated count=2682, Key=2142135
[326] - <6 11 90 241 672 1132 4001 > true count=3, estimated count=2683, Key=1686387
[327] - <6 11 270 > true count=9, estimated count=2683, Key=337853
[328] - <6 1805 > true count=9, estimated count=2684, Key=987341
[329] - <6 11 148 993 > true count=3, estimated count=2683, Key=2166964
[330] - <1 6 11 77 434 1030 > true count=2, estimated count=2683, Key=5051759
[331] - <1 6 7 148 218 269 306 438 445 3257 > true count=2, estimated count=2681, Key=7468953
[332] - <3 6 316 6198 > true count=1, estimated count=2682, Key=5244263
[333] - <77 330 > true count=1, estimated count=2682, Key=180587
[334] - <6 11 143 504 742 1751 9609 > true count=1, estimated count=2682, Key=6977720
[335] - <3 6 11 41 46 56 90 148 218 220 230 237 254 375 379 506 683 687 761 771 800 916 1168 1754 2013 2079 2403 2442 2889 3361 3515 3764 3945 4678 5368 6669 8695 > true count=1, estimated count=2682, Key=4944233
[336] - <1 6 11 27 49 568 > true count=5, estimated count=2682, Key=2239322
[337] - <3 6 7 11 640 4503 9589 9590 11551 14690 22473 24195 > true count=1, estimated count=2682, Key=994124
[338] - <6 11 13858 > true count=1, estimated count=2682, Key=2037505
[339] - <1 3 55 18275 > true count=1, estimated count=2682, Key=6491312
[340] - <6 11 1710 3231 5886 25874 > true count=1, estimated count=2682, Key=4882404
[341] - <1 3 1065 3504 > true count=1, estimated count=2682, Key=793999
[342] - <11 27 205 1956 3898 > true count=3, estimated count=2682, Key=7380635
[343] - <3 6 11 64 148 218 633 > true count=3, estimated count=2682, Key=4130359
[344] - <1 6 7 11 56 106 148 205 470 987 > true count=2, estimated count=2682, Key=2691965
[345] - <3 4 6 3347 > true count=1, estimated count=2682, Key=6680136
[346] - <6 7 11 90 148 218 521 > true count=4, estimated count=2682, Key=3687575
[347] - <6 11 83 148 218 521 > true count=4, estimated count=2682, Key=2867977
[348] - <6 7 11 27 32 400 > true count=5, estimated count=2682, Key=1591533
[349] - <4 185 4140 10357 > true count=1, estimated count=2682, Key=3330760
[350] - <6 11 56 64 514 518 526 529 1518 1519 1805 2283 2284 5603 5867 > true count=1, estimated count=2682, Key=6322581
[351] - <1 4 6 326 > true count=1, estimated count=2682, Key=659281
[352] - <849 3219 > true count=1, estimated count=2682, Key=1761642
[353] - <3 1507 3612 > true count=1, estimated count=2682, Key=5263480
[354] - <6 21 256 363 763 839 873 1536 1681 3516 > true count=1, estimated count=2682, Key=253262
[355] - <218 11577 15325 > true count=1, estimated count=2682, Key=2667262
[356] - <6 7 11 138 148 > true count=18, estimated count=2682, Key=699240
[357] - <6 11 584 670 > true count=6, estimated count=2682, Key=2059069
[358] - <3 6 148 218 540 > true count=5, estimated count=2682, Key=2104111
[359] - <3 6 11 7733 16850 > true count=1, estimated count=2681, Key=1749323
[360] - <6 11 55 69 136 667 1117 > true count=1, estimated count=2681, Key=411783
[361] - <6 27 590 > true count=1, estimated count=2681, Key=739885
[362] - <2 6 7 138 148 218 > true count=2, estimated count=2682, Key=1474431
[363] - <3 1434 8827 > true count=1, estimated count=2681, Key=4132784
[364] - <3 6 11 64 644 2059 > true count=2, estimated count=2682, Key=1787991
[365] - <3 6 11 148 303 504 1144 2103 5881 > true count=1, estimated count=2682, Key=3726173
[366] - <4329 > true count=3, estimated count=2681, Key=4329
[367] - <3 6 11 3437 > true count=3, estimated count=2681, Key=6866745
[368] - <1 6 11 306 438 445 > true count=2, estimated count=2682, Key=3424267
[369] - <3 11 152 4737 10677 > true count=1, estimated count=2682, Key=1484742
[370] - <1 6 11 3517 > true count=4, estimated count=2682, Key=7026183
