---OutputTable---
time=340182
table_size=626
[1] - <12 17 18 43 44 > true count=9, estimated count=179683, Key=238088
[38] - <12 16 17 18 24 31 41 43 46 > true count=12, estimated count=179688, Key=448984
[39] - <12 15 16 17 18 21 27 29 31 43 > true count=23, estimated count=179690, Key=375645
[40] - <12 16 17 18 21 24 27 28 31 43 > true count=18, estimated count=179689, Key=398403
[41] - <12 17 18 21 28 29 31 43 66 > true count=1079, estimated count=179689, Key=427303
[42] - <12 16 17 18 23 31 66 > true count=55, estimated count=179690, Key=531555
[43] - <12 16 17 18 24 28 29 31 43 > true count=17, estimated count=179687, Key=383536
[44] - <12 15 17 18 25 28 29 > true count=1082, estimated count=179696, Key=362186
[45] - <17 24 29 31 43 63 > true count=17, estimated count=179685, Key=454379
[46] - <1 8 12 15 16 17 18 21 24 25 26 27 28 29 30 31 43 46 47 64 66 94 > true count=2, estimated count=179685, Key=1443630
[47] - <12 14 16 17 18 21 24 27 31 43 66 > true count=16, estimated count=179685, Key=493371
[48] - <12 15 17 18 21 23 27 66 > true count=58, estimated count=179684, Key=324509
[49] - <12 16 17 21 23 27 31 > true count=53, estimated count=179684, Key=368475
[50] - <12 17 18 21 23 27 31 66 > true count=57, estimated count=179686, Key=370317
[51] - <17 21 24 27 28 31 43 66 > true count=17, estimated count=179686, Key=472963
[52] - <12 16 17 18 24 27 28 31 66 > true count=16, estimated count=179699, Key=388115
[53] - <12 15 16 17 18 21 24 27 29 > true count=22, estimated count=179687, Key=308439
[54] - <12 15 16 17 18 27 28 41 > true count=1081, estimated count=179696, Key=331760
[55] - <12 16 17 18 22 27 29 > true count=1950, estimated count=179687, Key=350905
[56] - <12 16 17 31 46 66 > true count=1069, estimated count=179700, Key=454240
[57] - <12 15 16 17 18 21 25 27 31 41 43 60 66 > true count=5, estimated count=179687, Key=851328
[58] - <12 14 15 16 17 18 25 31 41 43 59 66 > true count=10, estimated count=179689, Key=654035
[59] - <12 16 17 18 21 25 27 28 31 41 43 60 66 > true count=7, estimated count=179690, Key=886511
[60] - <12 17 18 23 29 66 > true count=59, estimated count=179685, Key=393339
[61] - <17 24 25 27 29 31 > true count=18, estimated count=179686, Key=288413
[62] - <10 12 17 18 28 66 > true count=35, estimated count=179685, Key=376659
[63] - <1 12 16 17 18 28 41 66 > true count=1069, estimated count=179695, Key=391187
[64] - <10 12 17 18 29 31 > true count=61, estimated count=179697, Key=254073
[65] - <12 15 16 17 18 27 31 43 66 > true count=1081, estimated count=179717, Key=381127
[66] - <12 14 15 16 17 18 21 31 > true count=1094, estimated count=179713, Key=262056
[67] - <12 14 16 17 18 28 29 31 > true count=1069, estimated count=179688, Key=339205
[68] - <12 16 17 18 21 27 29 31 43 59 > true count=18, estimated count=179698, Key=444219
[69] - <12 15 16 17 18 21 25 27 31 38 41 43 66 > true count=9, estimated count=179685, Key=796922
[70] - <12 17 18 21 25 29 43 > true count=1956, estimated count=179705, Key=435963
[71] - <10 12 15 16 17 18 21 > true count=58, estimated count=179695, Key=260929
[72] - <1 12 15 17 18 21 27 > true count=1951, estimated count=179708, Key=302931
[73] - <1 12 17 18 24 31 41 > true count=10638, estimated count=179721, Key=421580
[74] - <12 15 16 17 18 21 27 29 41 > true count=21, estimated count=179694, Key=328268
[75] - <17 21 24 27 29 31 43 66 > true count=18, estimated count=179689, Key=475712
[76] - <12 16 17 18 21 22 28 66 > true count=1081, estimated count=179700, Key=325896
[77] - <15 17 21 24 25 27 43 66 > true count=18, estimated count=179699, Key=438536
[78] - <12 17 18 25 28 29 31 43 > true count=1073, estimated count=179814, Key=399173
[79] - <12 17 18 27 28 29 41 > true count=1083, estimated count=179694, Key=447326
[80] - <12 15 16 17 18 21 22 25 27 31 43 > true count=10, estimated count=179685, Key=422299
[81] - <12 15 16 17 18 21 29 31 43 > true count=2009, estimated count=179758, Key=338206
[82] - <17 24 28 31 63 > true count=18, estimated count=179696, Key=282527
[83] - <10 12 16 17 18 21 27 31 66 > true count=54, estimated count=179691, Key=340302
[84] - <1 12 17 18 22 28 66 > true count=1083, estimated count=179692, Key=515864
[85] - <10 12 17 18 21 24 25 27 43 66 > true count=10, estimated count=179692, Key=422201
[86] - <12 16 17 18 21 24 27 29 31 43 > true count=23, estimated count=179688, Key=398404
[87] - <12 16 17 18 25 31 43 59 > true count=1175, estimated count=179712, Key=435429
[88] - <1 12 16 17 18 28 29 31 43 > true count=1094, estimated count=179721, Key=361621
[89] - <8 12 17 18 21 24 43 66 > true count=12940, estimated count=179761, Key=397181
[90] - <1 12 16 17 18 22 25 31 41 43 59 66 > true count=8, estimated count=179690, Key=673225
[91] - <12 16 17 18 22 25 31 41 43 59 63 66 > true count=8, estimated count=179691, Key=755651
[92] - <12 17 18 21 24 27 28 43 63 66 > true count=10, estimated count=179688, Key=475355
[93] - <1 10 12 16 17 18 22 24 25 29 31 41 43 59 66 > true count=4, estimated count=179685, Key=899280
[94] - <1 12 15 16 17 18 22 25 31 43 > true count=8, estimated count=179686, Key=335170
[95] - <17 24 28 29 63 > true count=17, estimated count=179685, Key=278541
[96] - <12 17 18 24 27 43 66 > true count=14301, estimated count=179968, Key=599257
[97] - <12 16 17 21 23 31 66 > true count=54, estimated count=179684, Key=537534
[98] - <1 12 16 17 18 25 29 31 41 43 59 60 66 > true count=4, estimated count=179687, Key=921504
[99] - <10 12 16 17 23 > true count=57, estimated count=179684, Key=123346
[100] - <10 12 17 21 27 29 66 > true count=58, estimated count=179688, Key=539178
[101] - <12 17 18 27 28 29 59 > true count=1079, estimated count=179690, Key=526904
[102] - <12 17 18 21 24 27 29 31 66 > true count=22, estimated count=179687, Key=400291
[103] - <12 15 16 17 18 28 29 31 41 > true count=1073, estimated count=179688, Key=362179
[104] - <1 12 15 16 17 18 22 > true count=1092, estimated count=179705, Key=265341
[105] - <12 14 16 17 18 25 43 > true count=1067, estimated count=179703, Key=390325
[106] - <12 14 15 16 17 18 21 25 27 28 31 43 > true count=8, estimated count=179689, Key=491221
[107] - <12 17 18 21 24 27 28 31 66 > true count=21, estimated count=179701, Key=395870
[108] - <12 17 18 25 31 41 66 > true count=1699, estimated count=179704, Key=605084
[109] - <1 12 15 16 17 18 31 41 > true count=1090, estimated count=179698, Key=305171
[110] - <1 12 16 17 18 21 22 > true count=1965, estimated count=179708, Key=282055
[111] - <12 16 17 18 21 25 27 28 31 43 63 66 > true count=10, estimated count=179686, Key=708977
[112] - <12 17 18 31 38 66 > true count=1928, estimated count=179719, Key=434024
[113] - <12 17 18 25 27 29 31 > true count=1889, estimated count=179716, Key=396381
[114] - <12 15 16 17 18 25 31 41 43 59 60 66 > true count=7, estimated count=179690, Key=734907
[115] - <1 12 16 17 18 21 28 29 31 > true count=1078, estimated count=179724, Key=325567
[116] - <15 17 24 28 41 > true count=20, estimated count=179691, Key=207323
[117] - <12 16 17 18 21 24 27 31 43 59 66 > true count=16, estimated count=179690, Key=556172
[118] - <1 12 17 18 21 22 27 > true count=208, estimated count=179693, Key=319210
[119] - <12 15 16 17 18 21 24 27 31 66 > true count=22, estimated count=179693, Key=390647
[120] - <12 14 16 17 18 29 31 41 43 59 66 > true count=11, estimated count=179686, Key=579208
[121] - <1 12 17 18 21 22 31 > true count=217, estimated count=179693, Key=336894
[122] - <12 16 17 18 21 28 41 59 > true count=1074, estimated count=179703, Key=404848
[123] - <17 24 27 28 29 66 > true count=21, estimated count=179687, Key=418199
[124] - <12 14 16 17 18 24 31 43 59 > true count=17, estimated count=179687, Key=366008
[125] - <12 15 16 17 18 22 24 25 31 43 > true count=6, estimated count=179687, Key=365959
[126] - <17 18 28 46 66 > true count=1077, estimated count=179845, Key=317387
[127] - <8 12 15 16 17 66 > true count=12903, estimated count=179699, Key=339974
[128] - <12 15 16 17 18 22 31 43 > true count=1094, estimated count=179710, Key=327120
[129] - <1 12 17 18 27 59 > true count=1740, estimated count=179697, Key=348834
[130] - <12 16 17 18 25 29 41 > true count=1917, estimated count=179739, Key=419366
[131] - <12 16 17 18 24 28 29 31 > true count=2944, estimated count=179746, Key=360015
[132] - <12 16 17 18 21 25 29 66 > true count=1923, estimated count=179717, Key=341060
[133] - <12 16 17 18 21 28 31 59 66 > true count=1099, estimated count=179718, Key=396740
[134] - <12 14 16 17 18 21 27 > true count=2014, estimated count=179723, Key=305265
[135] - <12 17 18 21 24 27 28 29 > true count=22, estimated count=179705, Key=359766
[136] - <12 15 16 17 18 21 22 27 31 > true count=47, estimated count=179702, Key=300691
[137] - <12 16 17 18 22 29 31 43 > true count=1761, estimated count=179709, Key=366952
[138] - <12 16 17 18 24 31 41 59 > true count=22, estimated count=179705, Key=423838
[139] - <12 16 17 18 21 22 28 43 > true count=1088, estimated count=179699, Key=325873
[140] - <1 12 16 17 18 24 41 > true count=10679, estimated count=179794, Key=376797
[141] - <12 15 16 17 18 29 31 59 > true count=1108, estimated count=179754, Key=352203
[142] - <12 16 17 18 31 43 46 > true count=1085, estimated count=179714, Key=508099
[143] - <1 12 16 17 18 22 31 43 > true count=1095, estimated count=179704, Key=325468
[144] - <1 12 17 18 28 59 66 > true count=1068, estimated count=179688, Key=643369
[145] - <12 16 17 18 25 31 41 43 > true count=1268, estimated count=179793, Key=426571
[146] - <12 16 17 18 21 22 31 66 > true count=2070, estimated count=179772, Key=339159
[147] - <12 16 17 18 28 31 41 59 66 > true count=1081, estimated count=179823, Key=470936
[148] - <12 15 16 17 18 22 28 43 > true count=1083, estimated count=179699, Key=313857
[149] - <12 17 18 21 25 41 > true count=1942, estimated count=179723, Key=288832
[150] - <12 14 16 17 18 31 59 > true count=1071, estimated count=179712, Key=482547
[151] - <10 12 17 18 21 29 66 > true count=60, estimated count=179692, Key=516705
[152] - <16 17 18 25 27 28 66 > true count=1077, estimated count=179703, Key=547539
[153] - <12 16 17 18 28 43 46 > true count=1073, estimated count=179791, Key=499852
[154] - <12 15 16 17 18 27 28 59 > true count=1076, estimated count=179746, Key=331778
[155] - <1 12 16 17 18 27 28 66 > true count=1092, estimated count=179712, Key=330133
[156] - <1 12 16 17 18 22 28 31 > true count=1175, estimated count=180171, Key=312193
[157] - <1 12 16 17 18 21 29 31 66 > true count=7408, estimated count=181013, Key=349135
[158] - <12 17 18 21 27 29 41 66 > true count=1938, estimated count=179720, Key=432685
[159] - <12 16 17 18 25 28 31 41 > true count=1145, estimated count=179772, Key=371616
[160] - <1 16 17 18 25 28 66 > true count=1078, estimated count=179697, Key=526299
[161] - <12 15 16 17 18 22 25 31 41 43 59 66 > true count=10, estimated count=179693, Key=674877
[162] - <12 16 17 18 24 25 66 > true count=14490, estimated count=180530, Key=512818
[163] - <12 17 18 28 38 > true count=1084, estimated count=179695, Key=191699
[164] - <12 16 17 18 21 28 31 41 43 > true count=1128, estimated count=179738, Key=384141
[165] - <12 14 16 17 18 43 66 > true count=1069, estimated count=179705, Key=556466
[166] - <12 16 17 18 27 29 41 43 > true count=1968, estimated count=179717, Key=424907
[167] - <10 12 15 17 18 21 27 66 > true count=59, estimated count=179691, Key=303006
[168] - <12 15 16 17 18 25 27 > true count=1115, estimated count=179738, Key=320136
[169] - <12 17 18 41 63 > true count=1997, estimated count=179699, Key=286333
[170] - <12 15 16 17 18 24 31 66 > true count=13950, estimated count=180722, Key=334305
[171] - <12 16 17 18 21 31 41 43 59 > true count=1773, estimated count=179725, Key=447848
[172] - <12 16 17 18 21 23 27 66 > true count=57, estimated count=179690, Key=325056
[173] - <12 17 18 27 31 41 43 66 > true count=1780, estimated count=179700, Key=507453
[174] - <8 12 17 24 28 29 > true count=12123, estimated count=179767, Key=256118
[175] - <1 12 16 17 18 21 28 31 43 > true count=1121, estimated count=179760, Key=332133
[176] - <12 16 17 18 21 25 28 31 66 > true count=1092, estimated count=179738, Key=372706
[177] - <1 12 15 16 17 18 27 31 > true count=1954, estimated count=179758, Key=287477
[178] - <12 15 16 17 18 21 27 28 31 66 > true count=1120, estimated count=179791, Key=403911
[179] - <12 17 18 21 27 63 > true count=2012, estimated count=179777, Key=373112
[180] - <12 15 16 17 18 21 28 43 66 > true count=1088, estimated count=179707, Key=346378
[181] - <12 16 17 28 29 41 59 > true count=1071, estimated count=179696, Key=572842
[182] - <12 14 15 16 17 18 21 28 > true count=1075, estimated count=179696, Key=262053
[183] - <1 12 15 16 17 18 25 > true count=1095, estimated count=179702, Key=278604
[184] - <1 12 16 17 18 22 31 66 > true count=1067, estimated count=179722, Key=325491
[185] - <1 12 15 16 17 18 59 > true count=1081, estimated count=179707, Key=428918
[186] - <12 14 15 16 17 18 25 28 31 41 43 63 66 > true count=7, estimated count=179686, Key=842315
[187] - <10 12 15 16 17 18 21 24 25 27 30 31 41 43 66 > true count=4, estimated count=179687, Key=789810
[188] - <8 10 12 16 17 18 24 25 31 41 43 63 66 > true count=5, estimated count=179685, Key=832012
[189] - <12 16 17 18 21 25 27 31 38 41 43 60 66 > true count=7, estimated count=179686, Key=890343
[190] - <12 14 15 16 17 18 21 25 27 31 41 43 66 > true count=10, estimated count=179686, Key=751184
[191] - <12 16 17 18 22 27 31 66 > true count=471, estimated count=179735, Key=359813
[192] - <12 16 17 18 25 29 31 43 > true count=21013, estimated count=181499, Key=375199
[193] - <12 16 17 18 24 63 > true count=12992, estimated count=180189, Key=357110
[194] - <8 12 17 18 24 28 43 63 66 > true count=7, estimated count=179685, Key=455851
[195] - <10 12 17 27 28 > true count=35, estimated count=179685, Key=158250
[196] - <12 16 17 18 25 28 31 38 41 43 60 63 66 > true count=7, estimated count=179689, Key=976000
[197] - <12 15 16 17 18 28 29 31 43 > true count=1170, estimated count=179787, Key=363273
[198] - <12 16 17 18 22 28 29 31 > true count=1138, estimated count=179755, Key=354517
[199] - <12 17 18 21 27 28 38 43 63 66 > true count=7, estimated count=179684, Key=531393
[200] - <1 12 17 18 27 28 31 66 > true count=1083, estimated count=179693, Key=374940
[201] - <12 17 18 21 24 25 27 28 43 66 > true count=10, estimated count=179687, Key=452817
[202] - <12 16 17 18 31 41 43 59 > true count=185221, estimated count=192397, Key=487733
[203] - <10 12 17 18 23 31 > true count=55, estimated count=179717, Key=237579
[204] - <12 16 17 18 46 66 > true count=1108, estimated count=179727, Key=428331
[205] - <12 17 18 21 27 29 41 43 > true count=1943, estimated count=179693, Key=432662
[206] - <12 17 18 31 43 63 > true count=21049, estimated count=188186, Key=437026
[207] - <12 17 18 21 25 28 29 > true count=1082, estimated count=179694, Key=370488
[208] - <12 15 16 17 18 21 27 29 66 > true count=1986, estimated count=179758, Key=341943
[209] - <1 12 17 18 22 28 31 43 > true count=1075, estimated count=179713, Key=361172
[210] - <10 12 17 18 21 27 29 > true count=59, estimated count=179706, Key=345966
[211] - <12 15 16 17 18 46 > true count=1079, estimated count=179712, Key=275970
[212] - <1 12 16 17 18 31 41 59 > true count=1455, estimated count=179774, Key=401923
[213] - <12 16 17 18 21 29 41 59 > true count=1769, estimated count=179691, Key=408429
[214] - <12 16 17 18 21 27 28 31 59 > true count=1144, estimated count=179754, Key=376039
[215] - <12 15 16 17 18 21 31 43 66 > true count=2020, estimated count=179770, Key=359641
[216] - <12 16 17 18 21 28 31 41 66 > true count=1101, estimated count=179736, Key=396722
[217] - <12 14 15 16 17 18 28 31 43 > true count=1058, estimated count=179777, Key=316524
[218] - <12 15 16 17 18 27 31 59 > true count=1102, estimated count=179728, Key=345041
[219] - <12 17 18 21 31 38 > true count=1987, estimated count=179718, Key=294583
[220] - <12 15 16 17 18 21 27 28 29 31 > true count=1084, estimated count=179747, Key=359802
[221] - <1 12 16 17 18 21 27 29 31 > true count=1850, estimated count=179709, Key=321146
[222] - <8 12 16 17 18 24 41 66 > true count=13015, estimated count=183335, Key=376870
[223] - <12 17 24 29 41 66 > true count=12911, estimated count=179741, Key=445659
[224] - <12 16 17 18 29 31 43 59 66 > true count=1773, estimated count=179728, Key=482527
[225] - <12 16 17 18 21 27 28 31 41 > true count=1155, estimated count=179754, Key=366193
[226] - <12 16 17 18 27 29 41 66 > true count=1989, estimated count=179737, Key=424930
[227] - <12 16 17 18 21 27 28 29 31 66 > true count=1106, estimated count=180102, Key=441835
[228] - <12 16 17 18 27 28 31 43 59 > true count=1072, estimated count=179735, Key=409389
[229] - <12 16 17 18 21 25 27 31 43 63 66 > true count=12, estimated count=179694, Key=564669
[230] - <8 12 17 18 21 24 27 29 > true count=13131, estimated count=180435, Key=326408
[231] - <12 16 17 18 25 28 31 59 > true count=1130, estimated count=179755, Key=371634
[232] - <12 15 17 18 25 29 43 66 > true count=12, estimated count=179695, Key=427727
[233] - <12 15 17 18 22 29 > true count=491, estimated count=179692, Key=229311
[234] - <12 17 28 46 66 > true count=1077, estimated count=179735, Key=316835
[235] - <1 12 15 17 18 31 59 > true count=1072, estimated count=179691, Key=480213
[236] - <12 15 17 18 21 28 29 66 > true count=1088, estimated count=179701, Key=351256
[237] - <1 15 17 24 > true count=10409, estimated count=179696, Key=76931
[238] - <12 17 18 24 25 27 28 > true count=18, estimated count=179698, Key=368465
[239] - <1 12 15 16 17 18 28 31 66 > true count=1111, estimated count=180301, Key=328000
[240] - <1 8 12 16 17 18 24 31 66 > true count=12137, estimated count=181518, Key=304441
[241] - <12 16 17 18 28 63 > true count=1031, estimated count=179720, Key=368106
[242] - <1 8 12 16 17 18 24 29 > true count=10838, estimated count=179836, Key=268337
[243] - <12 17 18 21 24 28 31 > true count=175276, estimated count=181877, Key=376581
[244] - <12 16 17 18 21 25 27 43 > true count=1993, estimated count=179975, Key=332195
[245] - <12 15 16 17 18 28 31 > true count=202733, estimated count=203457, Key=348563
[246] - <12 14 16 17 18 21 27 31 38 41 43 66 > true count=11, estimated count=179686, Key=643604
[247] - <12 17 18 21 28 31 41 59 > true count=1027, estimated count=179690, Key=442589
[248] - <12 15 16 17 18 21 24 25 27 30 31 43 > true count=7, estimated count=179690, Key=524203
[249] - <8 12 17 21 27 43 > true count=12894, estimated count=179732, Key=297524
[250] - <8 12 16 17 18 24 29 41 > true count=12895, estimated count=180001, Key=323793
[251] - <12 16 17 18 22 24 25 31 43 > true count=7, estimated count=179690, Key=346030
[252] - <12 15 16 17 18 24 27 > true count=139540, estimated count=182570, Key=316555
[253] - <12 16 17 18 27 29 31 43 66 > true count=16054, estimated count=182368, Key=416799
[254] - <12 17 18 29 41 43 59 > true count=1798, estimated count=179718, Key=616761
[255] - <8 12 15 17 18 24 66 > true count=13109, estimated count=180014, Key=486100
[256] - <12 15 16 17 18 25 28 31 43 > true count=1086, estimated count=179747, Key=348109
[257] - <12 16 17 18 21 27 31 38 41 43 59 66 > true count=11, estimated count=179686, Key=731331
[258] - <1 12 15 16 17 18 27 28 > true count=1081, estimated count=179698, Key=287474
[259] - <1 12 16 17 18 28 31 43 66 > true count=1137, estimated count=179776, Key=383056
[260] - <1 8 12 17 18 21 24 > true count=13047, estimated count=179924, Key=283793
[261] - <12 17 18 21 25 27 31 66 > true count=1912, estimated count=179829, Key=375815
[262] - <12 16 17 18 21 28 31 43 59 > true count=1096, estimated count=179764, Key=392895
[263] - <12 15 16 17 18 28 41 59 > true count=1063, estimated count=179768, Key=392832
[264] - <12 14 15 16 17 18 29 31 > true count=1072, estimated count=179734, Key=297424
[265] - <12 17 18 21 24 27 29 66 > true count=14225, estimated count=179802, Key=364224
[266] - <12 16 17 18 28 31 46 > true count=1148, estimated count=179764, Key=456880
[267] - <12 16 17 18 24 25 28 31 41 43 60 66 > true count=7, estimated count=179687, Key=721139
[268] - <1 12 16 17 18 21 31 59 > true count=9036, estimated count=179890, Key=321903
[269] - <12 16 17 18 24 28 31 43 > true count=2985, estimated count=179781, Key=368869
[270] - <12 16 17 18 29 31 41 43 66 > true count=1822, estimated count=179743, Key=473669
[271] - <12 17 18 27 38 > true count=1978, estimated count=179724, Key=189706
[272] - <1 12 16 17 18 21 27 31 43 > true count=1828, estimated count=180917, Key=327712
[273] - <12 17 18 24 25 31 66 > true count=13311, estimated count=179926, Key=550787
[274] - <12 16 17 18 27 28 31 41 43 > true count=1094, estimated count=179856, Key=400635
[275] - <1 12 16 17 18 24 29 31 > true count=12593, estimated count=180193, Key=323776
[276] - <10 12 15 16 17 18 21 24 25 27 31 43 66 > true count=6, estimated count=179689, Key=724147
[277] - <12 16 17 18 38 66 > true count=5465, estimated count=179875, Key=406339
[278] - <1 12 17 18 24 43 66 > true count=11085, estimated count=181376, Key=575077
[279] - <12 16 17 18 22 29 31 66 > true count=1902, estimated count=179808, Key=366975
[280] - <1 12 16 17 18 31 59 66 > true count=9151, estimated count=179990, Key=481508
[281] - <8 12 16 17 18 21 24 27 31 > true count=13568, estimated count=180669, Key=307888
[282] - <12 16 17 18 21 27 31 41 43 > true count=21841, estimated count=181046, Key=380560
[283] - <8 12 17 18 24 41 43 > true count=12813, estimated count=179759, Key=466239
[284] - <12 16 17 18 29 31 59 66 > true count=16670, estimated count=182793, Key=517168
[285] - <12 14 15 16 17 18 27 > true count=1110, estimated count=179731, Key=288551
[286] - <12 16 17 18 21 25 29 31 > true count=21175, estimated count=180097, Key=341025
[287] - <12 16 17 18 21 22 31 43 > true count=2006, estimated count=179753, Key=339136
[288] - <12 15 16 17 18 27 29 43 > true count=1987, estimated count=179736, Key=336183
[289] - <15 16 17 18 25 28 29 > true count=1071, estimated count=179702, Key=362736
[290] - <12 16 17 18 21 27 29 31 59 > true count=21053, estimated count=180207, Key=380460
[291] - <12 16 17 18 22 41 > true count=182188, estimated count=182203, Key=272830
[292] - <12 16 17 18 28 29 31 66 > true count=16120, estimated count=181485, Key=383469
[293] - <12 16 17 18 21 28 29 31 59 > true count=1082, estimated count=179701, Key=384041
[294] - <12 15 16 17 18 28 31 41 66 > true count=1116, estimated count=180165, Key=384706
[295] - <1 12 17 18 21 27 41 > true count=1905, estimated count=180509, Key=399009
[296] - <12 16 17 18 21 27 28 29 31 43 > true count=1104, estimated count=179877, Key=413568
[297] - <12 16 17 18 28 31 41 43 59 > true count=1101, estimated count=179893, Key=467091
[298] - <12 16 17 18 21 25 27 28 31 > true count=1107, estimated count=179739, Key=349137
[299] - <12 16 17 18 25 28 29 43 > true count=1088, estimated count=179829, Key=362776
[300] - <12 16 17 18 22 28 31 59 > true count=1076, estimated count=179755, Key=363387
[301] - <12 16 17 18 21 22 29 31 > true count=2009, estimated count=179772, Key=330282
[302] - <12 17 18 28 29 41 59 > true count=1079, estimated count=179886, Key=574618
[303] - <12 15 16 17 18 28 31 59 66 > true count=1113, estimated count=179785, Key=384724
[304] - <12 17 18 24 27 31 41 > true count=14153, estimated count=179760, Key=445760
[305] - <12 16 17 18 21 22 27 28 31 > true count=1085, estimated count=179821, Key=338394
[306] - <12 16 17 18 24 27 41 > true count=14236, estimated count=180109, Key=409455
[307] - <12 15 17 18 43 59 66 > true count=1052, estimated count=179831, Key=686256
[308] - <12 17 18 24 27 29 43 > true count=14278, estimated count=179866, Key=447440
[309] - <12 15 16 17 18 28 29 59 > true count=1079, estimated count=180434, Key=339780
[310] - <8 12 16 17 18 21 24 27 66 > true count=12961, estimated count=180151, Key=327033
[311] - <1 12 17 18 24 27 > true count=11289, estimated count=179845, Key=225995
[312] - <12 17 18 22 28 31 > true count=182100, estimated count=183236, Key=263262
[313] - <12 15 16 17 18 22 > true count=185021, estimated count=185041, Key=190026
[314] - <12 16 17 18 24 28 29 > true count=180297, estimated count=191182, Key=359984
[315] - <12 16 17 18 21 25 31 43 > true count=21098, estimated count=181675, Key=349879
[316] - <1 12 16 17 18 25 31 43 > true count=1218, estimated count=179720, Key=336211
[317] - <12 16 17 18 24 31 43 59 > true count=12841, estimated count=179981, Key=432680
[318] - <12 15 17 18 28 29 43 66 > true count=1081, estimated count=179931, Key=435974
[319] - <12 16 17 18 25 28 29 31 66 > true count=1079, estimated count=179832, Key=398866
[320] - <12 15 16 17 18 22 31 66 > true count=1071, estimated count=179719, Key=327143
[321] - <12 16 17 18 21 27 28 31 43 66 > true count=1126, estimated count=179835, Key=448401
[322] - <12 15 17 18 25 43 > true count=122293, estimated count=181999, Key=287692
[323] - <12 16 17 18 31 43 63 > true count=1782, estimated count=179962, Key=583256
[324] - <12 16 17 18 41 43 59 66 > true count=1783, estimated count=180949, Key=593128
[325] - <1 12 16 17 18 25 66 > true count=9144, estimated count=181424, Key=490903
[326] - <12 16 17 18 28 29 31 59 66 > true count=1090, estimated count=179897, Key=419564
