---OutputTable---
time=49045
table_size=7437
[1] - <188 3404 4404 4428 7102 7112 > true count=774, estimated count=38190, Key=1091166
[207] - <170 260 265 3404 4404 4426 4434 4436 7102 > true count=750, estimated count=38192, Key=6200293
[208] - <170 180 184 260 265 4426 4436 7062 7082 7102 > true count=136, estimated count=38192, Key=4641767
[209] - <180 184 260 265 3404 4404 4436 7062 7092 7102 > true count=112, estimated count=38192, Key=5803133
[210] - <180 184 260 265 4436 4940 7062 7082 7092 7102 > true count=112, estimated count=38192, Key=7169083
[211] - <180 184 260 265 4432 4434 4436 7062 7082 7092 7102 > true count=112, estimated count=38192, Key=373061
[212] - <170 180 184 188 4426 4430 4432 4436 7062 7092 7102 > true count=90, estimated count=38192, Key=61930
[213] - <170 180 184 4428 4430 4432 4436 4940 7062 7092 7102 > true count=136, estimated count=38192, Key=1048596
[214] - <170 180 184 188 3404 4404 4434 4438 4940 7102 > true count=719, estimated count=38195, Key=4365460
[215] - <260 265 4426 4436 7062 7102 7112 > true count=6557, estimated count=38193, Key=713569
[216] - <260 265 4430 7062 7092 7102 > true count=5513, estimated count=38195, Key=4592421
[217] - <170 188 3404 4404 4426 4432 4436 7062 7102 > true count=777, estimated count=38193, Key=4605172
[218] - <180 184 188 3404 4404 4426 4428 4430 4940 7092 > true count=7342, estimated count=38201, Key=6071020
[219] - <17 188 260 265 4426 4434 4940 7062 7112 > true count=1091, estimated count=38198, Key=2232832
[220] - <17 3404 4404 4426 4430 4940 7062 7092 > true count=2071, estimated count=38200, Key=2191943
[221] - <170 180 184 3404 4404 4426 4428 4432 4434 7102 > true count=684, estimated count=38197, Key=5799416
[222] - <17 188 4426 4428 4436 4438 4940 7062 7112 > true count=984, estimated count=38198, Key=691519
[223] - <170 180 184 188 260 265 3404 4404 4432 4438 7102 > true count=343, estimated count=38196, Key=1949535
[224] - <170 188 260 265 3404 4404 4432 4434 7102 > true count=752, estimated count=38200, Key=4562111
[225] - <17 170 3404 4404 4426 4430 4432 4940 7062 > true count=1808, estimated count=38198, Key=4546325
[226] - <17 188 3404 4404 4426 4436 7062 7102 > true count=591, estimated count=38197, Key=4844135
[227] - <17 180 184 188 260 265 4430 4432 4436 4940 7062 > true count=104, estimated count=38198, Key=7024782
[228] - <170 188 3404 4404 4432 4434 4438 7092 7102 > true count=777, estimated count=38197, Key=4637700
[229] - <17 188 3404 4404 4434 4438 4940 7102 > true count=343, estimated count=38196, Key=2991927
[230] - <170 180 184 188 4426 4430 4432 4434 4436 4438 7062 7102 > true count=171, estimated count=38193, Key=7307418
[231] - <180 184 188 4426 4430 4432 4434 4436 4940 7062 7102 > true count=156, estimated count=38192, Key=7344774
[232] - <170 4428 4430 4432 4434 7092 7102 7112 > true count=12436, estimated count=38197, Key=3190304
[233] - <170 180 184 260 265 3404 4404 4940 7102 > true count=5879, estimated count=38197, Key=7120973
[234] - <17 170 180 184 188 4428 4430 4438 7102 > true count=288, estimated count=38194, Key=3028681
[235] - <170 180 184 4426 4428 4430 4432 4434 4436 4940 7062 7102 > true count=156, estimated count=38192, Key=1376208
[236] - <170 180 184 188 3404 4404 4428 4432 4436 7102 > true count=690, estimated count=38195, Key=4063240
[237] - <17 3404 4404 4426 4428 4436 4438 7062 7102 > true count=775, estimated count=38198, Key=165681
[238] - <17 170 180 184 260 265 3404 4404 4426 7102 > true count=625, estimated count=38195, Key=6047512
[239] - <170 180 184 188 3404 4404 4428 4434 7092 7102 > true count=718, estimated count=38196, Key=5516074
[240] - <17 180 184 188 4426 4428 4434 4436 7092 7102 > true count=289, estimated count=38205, Key=937871
[241] - <17 180 184 188 260 265 3404 4404 4428 7102 > true count=594, estimated count=38195, Key=6066964
[242] - <260 265 3404 4404 4430 4432 4438 4940 7092 > true count=3668, estimated count=38204, Key=4659627
[243] - <260 265 3404 4404 4432 4434 4436 4438 7102 > true count=752, estimated count=38196, Key=4668413
[244] - <17 170 180 184 188 4428 4432 4438 7082 > true count=290, estimated count=38198, Key=3026583
[245] - <17 170 3404 4404 4426 4430 4434 4940 7062 > true count=1807, estimated count=38198, Key=4555167
[246] - <17 170 180 184 3404 4404 4426 4432 4434 7102 > true count=342, estimated count=38192, Key=4034793
[247] - <170 180 184 260 265 3404 4404 4426 4434 7062 7102 > true count=649, estimated count=38196, Key=5994547
[248] - <17 260 265 3404 4404 4426 4436 4438 4940 7062 > true count=2842, estimated count=38218, Key=6205568
[249] - <170 188 4426 4438 7082 7092 7112 > true count=9831, estimated count=38218, Key=694516
[250] - <170 180 184 188 260 265 4436 4438 7062 7082 7102 > true count=113, estimated count=38199, Key=3700127
[251] - <17 188 260 265 3404 4404 4426 4438 7102 > true count=597, estimated count=38196, Key=4535436
[252] - <3403 3404 4404 4432 4434 4940 > true count=23524, estimated count=38200, Key=990089
[253] - <17 180 184 260 265 4426 4434 4436 4438 4940 7062 7092 > true count=112, estimated count=38198, Key=4097254
[254] - <180 184 188 3404 4404 4426 4428 4438 7062 7092 7102 > true count=717, estimated count=38193, Key=6386048
[255] - <17 180 184 4426 4432 4434 4436 7062 7092 7102 > true count=289, estimated count=38201, Key=1933653
[256] - <180 184 3404 4404 4426 4430 4436 4438 4940 7062 > true count=7343, estimated count=38219, Key=4589792
[257] - <188 3404 4404 4428 4436 4438 4940 7062 7102 > true count=6389, estimated count=38211, Key=2418334
[258] - <17 180 184 188 3404 4404 4426 4428 4432 4434 4438 4940 7062 > true count=345, estimated count=38213, Key=3487097
[259] - <17 170 180 184 4426 4428 4430 4434 4436 4438 > true count=290, estimated count=38201, Key=3674939
[260] - <17 3404 4404 4426 4940 7102 > true count=777, estimated count=38193, Key=2607861
[261] - <170 180 184 260 265 4428 4434 4436 4438 7062 7092 7102 > true count=112, estimated count=38196, Key=6799787
[262] - <17 180 184 4426 4428 4430 4432 4434 4438 4940 7062 > true count=199, estimated count=38222, Key=4353751
[263] - <180 184 188 260 265 3404 4404 4438 7092 7102 > true count=718, estimated count=38194, Key=850473
[264] - <170 180 184 188 260 265 4436 4940 7062 7112 > true count=5626, estimated count=38200, Key=4583213
[265] - <3404 4404 4426 4436 4438 7062 7082 > true count=6585, estimated count=38227, Key=2991500
[266] - <17 180 184 4426 4428 4434 4438 4940 7102 > true count=342, estimated count=38204, Key=706489
[267] - <17 180 184 188 4428 4438 7082 7102 > true count=289, estimated count=38210, Key=80971
[268] - <17 170 260 265 3404 4404 4428 4434 4438 4940 7092 > true count=2836, estimated count=38206, Key=782836
