---OutputTable---
time=3195
table_size=2780
[1] - <2 5 9 29 40 44 56 60 > true count=490, estimated count=1952, Key=586755
[143] - <25 36 40 44 52 56 58 60 62 66 > true count=1958, estimated count=1958, Key=871559
[144] - <2 5 7 9 13 16 17 21 23 26 29 34 36 38 40 44 50 52 54 56 58 61 62 64 67 68 70 73 74 > true count=8, estimated count=1960, Key=2491365
[145] - <7 29 34 36 44 48 52 56 58 60 66 > true count=1954, estimated count=1960, Key=889200
[146] - <5 9 29 34 40 42 48 58 60 62 66 > true count=1955, estimated count=1957, Key=821515
[147] - <25 34 36 40 44 52 58 60 62 66 > true count=1955, estimated count=1955, Key=821261
[148] - <2 7 40 44 46 52 58 60 62 > true count=494, estimated count=1959, Key=743741
[149] - <17 25 36 40 52 58 60 62 > true count=1956, estimated count=1956, Key=753624
[150] - <5 7 29 36 40 42 52 56 58 60 64 66 > true count=1958, estimated count=1959, Key=1015985
[151] - <9 29 34 46 56 58 60 62 > true count=1957, estimated count=1959, Key=776300
[152] - <3 25 29 42 56 58 60 62 > true count=1954, estimated count=1963, Key=759989
[153] - <5 25 29 40 46 48 58 60 66 > true count=1957, estimated count=1958, Key=719963
[154] - <5 25 29 34 36 42 56 58 60 66 > true count=1953, estimated count=1954, Key=728017
[155] - <7 25 36 40 46 56 58 60 > true count=1953, estimated count=1954, Key=721114
[156] - <2 29 34 44 46 52 58 60 > true count=493, estimated count=1956, Key=714487
[157] - <5 9 29 31 52 58 60 62 66 > true count=1957, estimated count=1958, Key=754422
[158] - <9 29 36 40 46 58 60 62 66 > true count=1956, estimated count=1960, Key=775412
[159] - <5 7 25 29 36 42 48 58 60 62 > true count=1955, estimated count=1960, Key=663006
[160] - <3 27 29 36 40 48 58 60 66 > true count=681, estimated count=1957, Key=696589
[161] - <7 29 36 46 48 56 58 60 62 66 > true count=1953, estimated count=1957, Key=855786
[162] - <3 9 29 40 52 58 60 62 64 66 > true count=1958, estimated count=1959, Key=852377
[163] - <17 29 34 36 48 56 58 60 66 > true count=1953, estimated count=1954, Key=754482
[164] - <7 17 25 40 58 60 62 > true count=1957, estimated count=1957, Key=768155
[165] - <5 25 40 44 56 58 60 66 > true count=1955, estimated count=1956, Key=777500
[166] - <3 27 29 36 40 58 60 62 > true count=649, estimated count=1955, Key=705141
[167] - <7 25 29 34 36 42 56 58 60 66 > true count=1955, estimated count=1956, Key=728019
[168] - <5 9 29 36 40 52 56 58 60 64 66 > true count=1954, estimated count=1955, Key=899137
[169] - <2 5 7 13 16 20 21 23 26 27 29 34 36 40 42 44 47 48 52 54 56 58 61 62 64 67 68 70 73 74 > true count=5, estimated count=1957, Key=2526463
[170] - <2 5 29 34 40 44 56 58 60 62 > true count=493, estimated count=1955, Key=730316
[171] - <25 34 40 58 60 62 74 > true count=1955, estimated count=1955, Key=897493
[172] - <7 25 56 58 60 62 74 > true count=1953, estimated count=1953, Key=912216
[173] - <5 9 31 40 52 58 60 62 66 > true count=1953, estimated count=1953, Key=774817
[174] - <5 34 36 58 60 66 74 > true count=1955, estimated count=1956, Key=906881
[175] - <25 29 34 36 52 60 74 > true count=1953, estimated count=1953, Key=814384
[176] - <3 29 34 44 52 56 58 60 66 > true count=1953, estimated count=1957, Key=781408
[177] - <7 29 36 42 46 58 60 66 > true count=1952, estimated count=1953, Key=743298
[178] - <5 29 34 48 52 58 60 62 66 72 > true count=1955, estimated count=1955, Key=893876
[179] - <9 25 36 42 48 52 58 60 66 > true count=1953, estimated count=1954, Key=752378
[180] - <9 29 34 40 44 48 58 60 66 > true count=1957, estimated count=1958, Key=722802
[181] - <9 34 46 52 56 58 60 62 > true count=1954, estimated count=1954, Key=805741
[182] - <5 27 40 56 58 60 > true count=802, estimated count=1953, Key=549844
[183] - <9 34 40 46 52 58 60 62 66 > true count=1953, estimated count=1953, Key=811515
[184] - <2 31 36 40 44 52 56 58 62 > true count=497, estimated count=1963, Key=729639
[185] - <36 42 44 56 58 60 66 > true count=1952, estimated count=1953, Key=854782
[186] - <2 9 25 40 44 52 58 60 66 > true count=492, estimated count=1955, Key=715118
[187] - <5 7 34 36 40 58 60 74 > true count=1954, estimated count=1955, Key=700360
[188] - <2 21 23 27 29 31 36 40 42 44 48 52 58 64 > true count=89, estimated count=1953, Key=1249799
[189] - <5 7 46 48 58 60 62 66 > true count=1954, estimated count=1954, Key=804502
[190] - <5 7 25 29 36 42 58 60 62 66 > true count=1955, estimated count=1957, Key=713228
[191] - <5 17 25 58 60 > true count=1953, estimated count=1954, Key=320563
[192] - <5 7 29 40 46 56 58 60 62 66 > true count=1954, estimated count=1956, Key=817691
[193] - <3 7 9 25 29 36 40 48 56 58 > true count=1953, estimated count=1953, Key=552157
[194] - <3 7 29 40 48 56 58 60 64 66 > true count=1953, estimated count=1953, Key=824281
[195] - <2 3 5 7 13 17 21 23 27 29 34 36 39 40 44 48 52 54 56 58 61 62 64 67 68 70 73 74 > true count=5, estimated count=1953, Key=2607939
[196] - <2 4 5 8 9 11 13 16 17 19 21 23 26 27 30 33 35 36 38 40 42 44 46 48 51 52 54 56 58 61 62 64 67 68 71 73 74 > true count=1, estimated count=1953, Key=2851378
[197] - <5 7 25 42 48 56 58 > true count=1953, estimated count=1953, Key=707171
[198] - <25 29 40 42 48 56 64 > true count=1952, estimated count=1952, Key=764186
[199] - <3 25 29 36 42 52 56 58 > true count=1958, estimated count=1958, Key=670371
[200] - <29 36 42 46 48 52 58 62 > true count=1954, estimated count=1954, Key=737661
[201] - <9 25 27 48 58 > true count=810, estimated count=1953, Key=301973
[202] - <2 9 25 29 40 44 58 60 66 > true count=492, estimated count=1955, Key=653551
[203] - <2 3 5 7 11 13 16 21 23 26 27 29 34 36 38 40 44 50 52 54 56 58 61 62 64 67 68 70 73 74 > true count=2, estimated count=1954, Key=2402694
[204] - <5 7 9 17 29 34 60 > true count=1953, estimated count=1953, Key=515511
[205] - <29 34 36 40 42 46 48 52 58 > true count=1952, estimated count=1953, Key=666761
[206] - <5 7 29 34 36 40 60 74 > true count=1953, estimated count=1953, Key=614775
[207] - <7 25 27 40 56 58 60 > true count=811, estimated count=1954, Key=753487
[208] - <27 29 34 36 58 60 62 66 > true count=803, estimated count=1954, Key=777894
[209] - <3 9 25 29 34 36 48 58 62 > true count=1953, estimated count=1953, Key=562010
[210] - <7 25 29 34 40 46 48 58 > true count=1952, estimated count=1953, Key=604037
[211] - <5 25 29 34 40 46 48 58 > true count=1952, estimated count=1953, Key=604035
[212] - <7 9 29 36 40 46 48 58 > true count=1952, estimated count=1953, Key=599271
[213] - <9 29 34 60 66 74 > true count=1952, estimated count=1952, Key=623666
[214] - <7 15 29 36 40 58 > true count=650, estimated count=1953, Key=433259
[215] - <9 40 44 48 56 60 66 > true count=1952, estimated count=1952, Key=832219
[216] - <9 29 34 36 44 48 60 66 > true count=1953, estimated count=1953, Key=687576
[217] - <5 9 17 52 56 58 60 > true count=1952, estimated count=1953, Key=756359
[218] - <5 9 34 40 42 48 52 58 60 62 66 > true count=1952, estimated count=1952, Key=884286
[219] - <25 36 52 60 66 74 > true count=1952, estimated count=1952, Key=649633
[220] - <2 5 25 40 44 52 56 58 60 62 > true count=490, estimated count=1953, Key=777002
[221] - <9 34 36 44 58 60 62 66 > true count=1954, estimated count=1954, Key=799013
[222] - <25 31 36 56 58 62 > true count=1955, estimated count=1955, Key=554298
[223] - <5 29 48 58 60 66 74 > true count=1958, estimated count=1959, Key=918894
[224] - <7 9 29 34 46 58 60 66 > true count=1954, estimated count=1955, Key=707811
[225] - <5 36 52 58 60 62 66 74 > true count=1955, estimated count=1955, Key=878021
[226] - <2 25 29 44 56 58 60 62 66 > true count=491, estimated count=1953, Key=800076
[227] - <7 38 40 52 58 60 62 66 > true count=1954, estimated count=1954, Key=822059
[228] - <5 34 40 52 54 58 60 > true count=1103, estimated count=1955, Key=792803
[229] - <9 36 40 44 56 58 60 62 66 > true count=1953, estimated count=1953, Key=819619
[230] - <25 52 54 56 58 60 > true count=1104, estimated count=1959, Key=580745
[231] - <5 25 36 42 48 56 58 62 > true count=1955, estimated count=1955, Key=730598
[232] - <7 29 40 44 52 56 60 64 > true count=1953, estimated count=1953, Key=761530
[233] - <2 5 7 11 13 16 21 23 26 27 29 34 36 38 40 44 52 54 56 58 61 62 64 67 68 73 74 > true count=6, estimated count=1958, Key=2260311
[234] - <5 7 52 54 58 60 > true count=1103, estimated count=1955, Key=549666
[235] - <2 5 9 40 44 56 58 60 > true count=491, estimated count=1954, Key=671488
[236] - <2 5 7 9 11 13 16 17 19 21 23 26 27 29 34 36 38 40 44 46 49 52 54 56 58 61 62 64 67 68 70 73 74 > true count=4, estimated count=1956, Key=2562563
[237] - <7 9 27 29 36 40 48 60 > true count=646, estimated count=1967, Key=550382
[238] - <36 48 56 58 60 62 66 74 > true count=1954, estimated count=1954, Key=889532
[239] - <2 5 7 11 13 16 21 23 26 27 29 34 36 40 42 44 46 51 52 54 56 58 61 62 64 67 68 73 74 > true count=2, estimated count=1954, Key=2477442
[240] - <5 25 29 34 44 58 60 62 66 > true count=1954, estimated count=1958, Key=747161
[241] - <2 3 5 7 13 21 23 25 27 29 34 36 40 44 48 52 54 56 58 61 62 64 67 68 70 73 74 > true count=9, estimated count=1960, Key=2373202
[242] - <2 5 29 44 46 58 60 62 > true count=492, estimated count=1954, Key=725544
[243] - <9 13 58 60 > true count=651, estimated count=1953, Key=197982
[244] - <2 9 25 40 44 52 56 58 60 > true count=492, estimated count=1955, Key=702992
[245] - <2 4 5 7 9 13 16 17 21 23 26 27 29 34 36 38 40 42 44 50 52 54 56 58 61 62 64 67 68 70 73 74 > true count=4, estimated count=1956, Key=2462804
[246] - <2 4 5 7 9 12 13 16 17 20 21 23 26 27 29 34 36 40 42 44 47 48 52 54 56 58 61 62 64 67 68 70 73 74 > true count=3, estimated count=1954, Key=2706237
[247] - <2 4 5 7 9 11 13 16 17 19 21 23 26 29 34 36 38 40 42 44 46 49 52 54 56 58 61 62 64 67 68 70 73 74 > true count=6, estimated count=1958, Key=2709406
[248] - <2 3 5 7 9 13 16 21 23 25 27 29 34 36 40 42 44 52 54 56 58 61 62 64 67 68 70 73 74 > true count=5, estimated count=1955, Key=2414235
[249] - <5 9 17 29 40 58 60 66 > true count=1960, estimated count=1961, Key=666602
[250] - <9 29 34 46 52 58 60 62 66 > true count=1959, estimated count=1961, Key=801406
[251] - <2 3 5 7 9 13 21 23 25 27 29 34 36 40 44 52 54 56 58 61 62 64 67 68 70 73 74 > true count=7, estimated count=1959, Key=2273687
[252] - <27 29 46 52 60 > true count=811, estimated count=1953, Key=341000
[253] - <7 9 27 29 58 60 62 > true count=813, estimated count=1955, Key=744314
[254] - <7 25 27 29 36 40 52 60 66 > true count=801, estimated count=1952, Key=612920
[255] - <7 13 29 52 60 > true count=651, estimated count=1952, Key=311335
[256] - <25 36 40 48 58 60 62 74 > true count=1953, estimated count=1970, Key=813019
[257] - <2 5 7 9 11 13 16 21 23 27 29 34 36 38 40 42 44 52 54 56 58 61 62 64 67 68 70 73 74 > true count=7, estimated count=1959, Key=2463464
[258] - <5 7 9 29 34 42 48 58 60 66 > true count=1956, estimated count=1957, Key=642760
[259] - <5 9 29 40 46 52 56 58 60 > true count=1959, estimated count=1960, Key=713409
[260] - <2 5 7 9 11 13 16 17 21 23 27 29 34 36 40 42 44 52 54 56 58 61 62 64 67 68 70 73 74 > true count=7, estimated count=1959, Key=2423715
[261] - <5 25 40 46 56 58 60 > true count=1956, estimated count=1957, Key=781420
[262] - <2 4 5 8 9 11 13 16 17 19 21 23 26 27 30 31 35 36 38 40 42 44 46 48 51 52 54 56 58 61 62 64 67 68 71 73 74 > true count=1, estimated count=1953, Key=2850284
[263] - <3 5 29 34 36 40 42 52 56 58 60 62 > true count=1956, estimated count=1969, Key=926011
[264] - <2 25 29 44 46 48 58 60 62 > true count=491, estimated count=1967, Key=725744
[265] - <15 36 48 58 60 > true count=655, estimated count=1968, Key=359233
[266] - <9 29 34 36 40 46 56 58 > true count=1965, estimated count=1966, Key=651726
[267] - <5 9 25 36 42 52 58 60 > true count=1954, estimated count=1965, Key=665549
[268] - <29 34 40 48 54 58 > true count=1114, estimated count=1966, Key=519595
[269] - <7 29 36 42 46 48 60 > true count=1953, estimated count=1957, Key=707422
[270] - <3 7 9 25 29 40 48 52 56 58 60 > true count=1956, estimated count=1969, Key=721433
[271] - <11 29 34 52 58 60 > true count=1953, estimated count=1963, Key=535598
[272] - <5 25 29 34 36 40 46 52 58 60 > true count=1955, estimated count=1956, Key=668171
[273] - <2 25 36 44 48 56 60 66 > true count=491, estimated count=1955, Key=743427
[274] - <36 42 44 48 56 58 60 > true count=1953, estimated count=1967, Key=799652
[275] - <36 40 42 46 48 58 60 62 > true count=1957, estimated count=1963, Key=770184
[276] - <25 29 40 48 52 58 62 74 > true count=1964, estimated count=1964, Key=785534
[277] - <9 29 34 40 44 48 52 56 58 > true count=1957, estimated count=1963, Key=691896
[278] - <7 17 29 34 36 52 56 58 60 62 > true count=1959, estimated count=1961, Key=754537
[279] - <29 34 36 46 48 56 58 60 62 66 > true count=1955, estimated count=1959, Key=858543
[280] - <36 42 44 48 52 56 58 > true count=1962, estimated count=1963, Key=772652
[281] - <5 29 36 44 48 52 56 58 60 62 66 > true count=1963, estimated count=1967, Key=954158
[282] - <7 29 40 44 56 58 60 64 > true count=1953, estimated count=1954, Key=779688
[283] - <3 7 17 29 48 52 58 62 > true count=1957, estimated count=1966, Key=657166
[284] - <25 29 34 46 56 58 60 66 > true count=1953, estimated count=1954, Key=776320
[285] - <5 25 29 34 42 52 56 58 60 62 66 > true count=1955, estimated count=1959, Key=906943
[286] - <2 3 5 7 11 13 16 21 23 27 29 34 36 40 42 44 52 54 56 58 61 62 64 67 68 73 74 > true count=7, estimated count=1959, Key=2217642
[287] - <27 29 46 58 60 > true count=818, estimated count=1961, Key=352958
[288] - <5 7 25 29 40 44 52 56 58 > true count=1965, estimated count=1970, Key=621554
[289] - <25 36 52 56 58 60 62 74 > true count=1956, estimated count=1960, Key=843711
[290] - <3 7 29 58 62 74 > true count=1965, estimated count=1965, Key=590499
[291] - <3 5 9 25 29 36 52 58 62 > true count=1957, estimated count=1962, Key=536125
[292] - <9 27 29 34 36 58 60 > true count=815, estimated count=1958, Key=690103
[293] - <17 25 29 36 40 58 60 62 > true count=1954, estimated count=1966, Key=704061
